#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.59125e-05 0.0990239 1.89684e-05 3.24259e-05 0.127992 1.63413e-05 4.39302e-05 0.134764 4.52677e-05 -2.56883e-05 0.128318 0 7.2 7.4 641555 174416 34415 14364 1190
7.5 5.6729e-05 0.0967848 4.05716e-05 3.53629e-05 0.115912 -1.30323e-07 0.000203458 0.137981 0.000131369 -2.2259e-05 0.124125 7.05525e-06 7.4 7.6 523987 164582 34709 13291 1103
7.7 0.000143345 0.0907473 5.20695e-05 0.000183923 0.10875 4.78734e-05 0.000299561 0.128243 5.25008e-05 -2.54574e-05 0.119954 -3.04833e-06 7.6 7.8 423071 148102 33432 12307 1063
7.9 0.000338159 0.0852286 0.000157 0.000450111 0.100077 0.000218679 0.0010821 0.12353 0.000541747 -7.54095e-05 0.107439 -3.4561e-05 7.8 8 335492 123317 30446 11231 929
8.1 0.000741499 0.0842629 0.00022909 0.00103886 0.0985644 0.000427667 0.00124558 0.120171 0.000327512 0.00350428 0.106645 0.00239054 8 8.2 261671 95790 26010 9558 829
8.3 0.00209483 0.0831187 0.000858503 0.00237592 0.0892771 0.00120752 0.00381662 0.116193 0.00158607 0.00433934 0.095679 0.00126562 8.2 8.4 203232 73407 22367 7846 652
8.5 0.00451209 0.0859087 0.00204488 0.00399225 0.0853814 0.0019119 0.00785228 0.12157 0.00368897 0.0147428 0.0991539 0.00746117 8.4 8.6 159295 56462 18774 6946 585
8.7 0.00870569 0.0839143 0.0034613 0.0059528 0.0796799 0.00233443 0.0155079 0.10778 0.00640403 0.0246643 0.108888 0.00781024 8.6 8.8 123169 42471 15088 5691 458
8.9 0.015841 0.0807008 0.00578871 0.00879461 0.0678246 0.00387124 0.0280295 0.105548 0.00941446 0.0275252 0.129037 0.010873 8.8 9 94142 31543 11642 4804 388
9.1 0.0270608 0.0789738 0.00993582 0.00986626 0.0634831 0.00423604 0.0465416 0.102477 0.0169846 0.0681383 0.0637069 0.0227466 9 9.2 73160 23764 8430 4121 317
9.3 0.0467298 0.0768849 0.0126902 0.00992184 0.0609828 0.00493744 0.0779697 0.0997279 0.0191106 0.0843275 0.0773484 0.0310288 9.2 9.4 55830 17319 5645 3328 252
9.5 0.065504 0.0877543 0.0149505 0.00550777 0.0582196 0.00702617 0.107304 0.102152 0.0201708 0.117602 0.0835655 0.0226941 9.4 9.6 43283 12900 3432 2859 204
9.7 0.0961061 0.08609 0.0299367 -0.000368584 0.062039 0.0141315 0.154937 0.0881239 0.0431252 0.144205 0.0757245 0.0449359 9.6 9.8 34542 9782 1911 2551 175
9.9 0.116203 0.0882916 0.031885 -0.0192974 0.0582044 0.0169037 0.168542 0.0951154 0.0330453 0.275462 0.0203777 0.0912873 9.8 10 28390 7547 985 2158 157
10.1 0.135252 0.0793875 0.0398738 -0.0561785 0.0816433 0.0194856 0.206253 0.0705744 0.052693 0.221988 0.0872096 0.0363813 10 10.2 24065 5938 500 2027 144
10.3 0.145621 0.0735905 0.0441368 -0.0400616 0.0575903 0.0444656 0.221683 0.0737262 0.0473652 0.195299 0.0951902 0.0233953 10.2 10.4 20509 4577 222 1734 136
10.5 0.146064 0.0674275 0.0450716 -0.14428 0.127341 0.00920007 0.216335 0.0642667 0.0505705 0.245693 0.0690334 0.0411913 10.4 10.6 16858 3469 78 1453 134
10.7 0.143745 0.0726596 0.0385807 -0.070916 0.11701 0.0740094 0.170488 0.06443 0.0250676 0.371624 0.0383274 0.0771396 10.6 10.8 13377 2568 32 1167 124
10.9 0.174798 0.0572128 0.0471772 0.286896 0.0405693 0.227709 0.1476 0.0554857 0.028326 0.414683 0.0493925 0.0482744 10.8 11 8880 1463 11 682 106
11.1 0.142728 0.0467453 0.0279931 0.0254408 0.535859 -0.0634761 0.0708431 0.0407678 0.036795 0.428719 -0.00489002 0.0952744 11 11.2 4722 752 5 348 61
11.3 0.113078 0.0464964 0.0336768 0.543225 -0.0110217 1.02302 0.00354248 0.0372531 0.033852 0.270498 0.0958681 0.0237503 11.2 11.4 1903 272 1 126 22
11.5 0.130925 0.0550047 0.0404066 -0.510101 0.0340245 0.122378 0.0353535 0.0844949 0.0803456 0.364899 0.014106 0.131635 11.4 11.6 474 78 0 33 8
11.7 0.255155 0.0574338 0.217059 -0.494845 0.0360218 0.205155 0.505155 -0.0442851 1.17639 0.505155 0.0356617 0.537413 11.6 11.8 105 8 0 1 2
11.9 -0.75 0.779412 0.0833333 -0.75 0.321429 0.107143 -0.75 0.321429 0.107143 -0.75 0.35 0.107143 11.8 12 4 0 0 0 0
12.1 0 0 0.666667 0 0 0.666667 0 0 0.666667 0 0 0.666667 12 12.2 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
