#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.32304e-05 0.0215137 0 0.000430058 0.127349 0.000370613 0.000556711 0.159207 0.000465156 0.000619131 0.174851 0.000516398 0 0.168367 0 7.2 7.4 625571 453501 172070 34129 9691 199
7.5 4.89863e-05 0.0198095 2.49711e-05 0.000629197 0.122925 0.000533177 0.000759435 0.147141 0.000660696 0.00150134 0.161132 0.00123029 0 0.15942 0 7.4 7.6 507558 347036 160522 34236 9325 222
7.7 0.000102266 0.0188665 6.18326e-05 0.00116683 0.116525 0.000932029 0.00159774 0.138945 0.00130057 0.00257943 0.161055 0.00202062 0 0.141509 0 7.6 7.8 402856 264018 138838 31920 8529 218
7.9 0.000251544 0.0187647 0.000179632 0.00241716 0.113075 0.00172975 0.00312325 0.129551 0.00227815 0.00501385 0.154001 0.00326987 0.00540541 0.176886 0.00540541 7.8 8 313208 202748 110460 28496 7579 185
8.1 0.000447276 0.0201976 0.000281237 0.00461131 0.109024 0.00311773 0.00567617 0.126517 0.00393313 0.00703471 0.146961 0.00480202 0.00666667 0.153761 0.000952381 8 8.2 240644 156503 84141 24136 6539 150
8.3 0.000948092 0.0205697 0.000565478 0.00822608 0.110377 0.00554641 0.00998141 0.123903 0.00656788 0.0142619 0.14467 0.00900119 0.0138889 0.149155 0.00771605 8.2 8.4 185443 122351 63092 20438 5399 144
8.5 0.0018858 0.0221356 0.00100134 0.0141647 0.112906 0.00807866 0.0149633 0.121137 0.00770998 0.0253028 0.138326 0.0152613 0.0212766 0.196115 0.00937183 8.4 8.6 142892 95450 47442 16908 4624 94
8.7 0.00360475 0.0246882 0.00184622 0.0229373 0.113704 0.0121797 0.020175 0.108188 0.0109752 0.0384226 0.141127 0.0187622 0.0555556 0.128352 0.0243056 8.6 8.8 109339 74069 35270 13829 3956 90
8.9 0.00662787 0.0272504 0.00289788 0.037622 0.107256 0.0164509 0.0278908 0.101535 0.0123138 0.0602773 0.134264 0.0255952 0.0289855 0.156729 0.0133605 8.8 9 83605 58088 25517 10326 3318 69
9.1 0.0123643 0.0304899 0.00482083 0.0587411 0.101594 0.0217217 0.0323238 0.0879551 0.0118343 0.0880866 0.126288 0.0299382 0.0793651 0.127531 0.0376984 9 9.2 63524 44968 18556 7363 2770 63
9.3 0.0227442 0.0301149 0.00797839 0.084781 0.109352 0.0311456 0.0389196 0.0833564 0.0148257 0.126901 0.129354 0.043145 0.0540541 0.18837 -0.0157134 9.2 9.4 48292 34822 13470 4702 2301 37
9.5 0.0369956 0.0338482 0.0110461 0.115965 0.115863 0.0310805 0.0400281 0.0853565 0.0090847 0.180759 0.13184 0.049261 0.243902 0.0894309 0.126255 9.4 9.6 36387 26841 9546 2848 1975 41
9.7 0.0566145 0.0321198 0.0146362 0.155323 0.11668 0.0381351 0.0485372 0.0871449 0.0129785 0.227189 0.122749 0.0575779 0.176471 0.147059 0.0336134 9.6 9.8 27810 21037 6773 1504 1633 34
9.9 0.0815486 0.0350662 0.0181876 0.207517 0.111883 0.0428947 0.0565276 0.0938221 0.00907389 0.285714 0.118618 0.0646543 0.333333 0.0666667 0.179487 9.8 10 21765 16763 5002 743 1435 24
10.1 0.116188 0.036093 0.0197497 0.253703 0.107794 0.0404956 0.0882353 0.0866526 0.0309105 0.350258 0.100687 0.0548845 0.391304 0.147157 0.0996377 10 10.2 17236 13590 3646 306 1162 23
