#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 3.38703e-05 0.00175536 0 0 0.0226729 0 0.000845745 0.0031352 0 0.216998 0 8.625 8.875 94180 1684 162 149 7
9 -6.36716e-06 6.36716e-06 0.00421484 -6.36716e-06 0.00160847 0.00322042 -6.36716e-06 0.00582268 6.36716e-06 -6.36716e-06 6.36716e-06 0.0324746 8.875 9.125 161320 4264 769 525 36
9.25 -1.60124e-06 0.0268655 1.60124e-06 -1.60124e-06 0.0316977 1.60124e-06 -1.60124e-06 0.0435011 1.60124e-06 -1.60124e-06 0.0715073 1.60124e-06 9.125 9.375 658516 33999 6490 4584 247
9.5 3.67288e-06 0.0571024 9.86626e-07 -9.86626e-07 0.0867081 1.47994e-06 -9.86626e-07 0.10781 2.46656e-06 -9.86626e-07 0.12614 6.90638e-06 9.375 9.625 2.24173e+06 214615 37205 21184 1041
9.75 1.39605e-05 0.0677896 4.11895e-06 6.36434e-05 0.116759 2.59821e-05 -3.35089e-06 0.143796 -1.34024e-05 -2.83434e-05 0.140673 2.44784e-05 9.625 9.875 4.4483e+06 567323 86969 40012 1774
10 -1.64728e-05 0.0770526 -8.12026e-06 3.80692e-06 0.120754 -9.84269e-07 -2.57457e-05 0.144492 -1.23007e-05 -2.57457e-05 0.129583 9.15401e-06 9.875 10.125 4.14278e+06 647049 101514 43184 1985
10.25 1.52817e-05 0.0851707 1.18767e-06 2.90811e-05 0.124576 -9.2946e-07 5.03733e-05 0.141221 2.43606e-05 -2.29574e-06 0.127815 9.18298e-07 10.125 10.375 2.74685e+06 568911 95612 37973 1754
