#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0 0.0698233 0 0 0.0892473 0 0 0.0984849 0 0 0.0883281 0 0 0.076087 0 8.625 8.875 44754 42894 1860 264 317 92
9.00 0 0.101946 0 0 0.115911 0 0 0.0995526 0 0 0.117797 0 0 0.091954 0 8.875 9.125 80106 74412 5694 894 1180 348
9.25 9.02348e-06 0.0843725 3.00783e-06 2.36072e-05 0.129485 0 0.000151883 0.131683 0.000151883 0 0.137407 0 0 0.1401 0 9.125 9.375 374826 332466 42360 6584 8493 2591
9.50 1.38667e-05 0.0559681 6.16296e-06 2.19021e-05 0.141241 -1.18234e-10 3.54572e-05 0.15392 0 0 0.174926 0 0 0.180747 0 9.375 9.625 1.48071e+06 1.29808e+06 182631 28203 27686 7635
9.75 9.32948e-05 0.0648596 2.48571e-05 0.000121774 0.15638 5.0737e-05 0.000236888 0.189747 9.75225e-05 0.000127512 0.214935 5.46425e-05 0.000217155 0.220123 0.00014477 9.625 9.875 3.59042e+06 3.09771e+06 492717 71764 54897 13815
10.00 6.78848e-05 0.0529995 3.36523e-05 7.1117e-05 0.148229 3.62854e-05 6.03525e-05 0.175294 3.01468e-05 2.83182e-05 0.19898 1.41448e-05 0.000176949 0.195338 0.000117938 9.875 10.125 4.1079e+06 3.44702e+06 660883 99416 70626 16954
10.25 5.84765e-06 0.0377969 2.69891e-06 2.00942e-05 0.139986 4.94667e-06 3.1346e-05 0.170839 2.0804e-05 3.17813e-05 0.188417 -2.7816e-07 6.84088e-05 0.184725 8.04699e-07 10.125 10.375 2.8203e+06 2.22312e+06 597187 95706 62930 14618
10.50 3.12357e-06 0.0309117 7.80894e-07 2.10259e-05 0.138215 -2.15191e-06 2.37023e-05 0.162339 -1.17208e-06 8.04505e-05 0.178554 1.22064e-06 8.73362e-05 0.171386 -1.60471e-07 10.375 10.625 1.75619e+06 1.28058e+06 475603 84380 49720 11450
10.75 1.34452e-06 0.0258389 -1.34452e-06 4.65368e-05 0.139356 -2.63166e-05 2.86549e-05 0.149539 -2.66487e-05 8.30933e-05 0.170065 -0.000116519 0 0.160489 -0.000128916 10.625 10.875 1.08758e+06 743762 343814 69796 36104 8143
11.00 4.61987e-06 0.0244714 -2.30993e-06 0.000443201 0.135957 -0.000189182 0.000200373 0.136077 -0.000201775 0.00127546 0.16278 -0.000447937 0.00195503 0.157942 -0.000397907 10.875 11.125 633725 432913 200812 49907 24305 5115
11.25 2.37816e-05 0.0259655 -2.37816e-05 0.00436781 0.140656 -0.00195145 0.0020453 0.131881 -0.000769555 0.00783174 0.159396 -0.00305433 0.0105772 0.147948 -0.00334109 11.125 11.375 357841 252296 105545 33247 15833 3309
11.50 0.00072567 0.0281587 -0.000291624 0.0340967 0.137603 -0.00184574 0.0153465 0.124243 -0.00377601 0.0474195 0.144847 8.62703e-05 0.0701933 0.137305 0.00734483 11.375 11.625 202734 147450 55284 18180 10502 1966
11.75 0.0100607 0.0352835 -0.000236723 0.158754 0.133607 0.0156137 0.0786331 0.111908 0.00859931 0.194307 0.14623 0.0262431 0.22272 0.130663 0.034282 11.625 11.875 113450 84487 28963 5443 7272 1338
12.00 0.0866423 0.0553594 0.0181503 0.432484 0.0763972 0.0502714 0.25641 0.0916373 0.0358974 0.477958 0.07892 0.0522376 0.52534 0.0694988 0.0437222 11.875 12.125 63218 48429 14789 585 4877 809
12.25 0.357542 0.055911 0.0390859 0.724456 0.0309341 0.0327219 0.737705 0 0.0710382 0.740669 0.0334391 0.0364808 0.761639 0.0335195 0.0399319 12.125 12.375 34207 27043 7164 61 3108 537
12.50 0.726186 0.0920328 0.11091 0.897737 0.036582 0.0494633 0.875 0.125 0.0178571 0.892111 0.0397753 0.0543375 0.944598 0.0190888 0.0432284 12.375 12.625 18377 14886 3491 8 1724 361
12.75 0.922459 0.0380054 0.102793 0.960377 0.0183461 0.0394699 1 0 0 0.942748 0.0244334 0.0661126 0.965517 0.0114943 0.0252187 12.625 12.875 9431 7841 1590 3 524 261
13.00 0.968525 0.00297397 0.0337051 0.979751 -0.000418484 0.0154071 0 0 0 0.964286 0 0.0397574 0.970414 0.00474107 0.00352681 12.875 13.125 4677 4035 642 0 56 169
13.25 0.978095 0.0020377 0.00815082 0.973799 0.00793606 0.00919735 0 0 0 1 0 0 0.969697 0.000891209 0.020202 13.125 13.375 2192 1963 229 0 2 99
