#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -1.49411e-05 0.105144 -6.70264e-06 -2.06806e-05 0.124728 3.00574e-06 -2.06806e-05 0.133551 -1.66148e-05 -2.06806e-05 0.121017 2.25126e-05 7.2 7.4 657780 174234 32667 19527 4029
7.5 -1.64672e-06 0.105135 0 4.49377e-06 0.119184 1.07111e-05 -2.68081e-05 0.131575 -2.01217e-05 -2.68081e-05 0.121288 1.62957e-06 7.4 7.6 531996 158974 31947 17543 3557
7.7 6.59978e-06 0.100456 -1.40206e-05 2.4679e-05 0.113081 -9.88133e-06 -6.94155e-06 0.12661 -3.97891e-05 -6.94155e-06 0.123448 1.45292e-06 7.6 7.8 435816 147696 31625 16270 3242
7.9 5.32806e-05 0.093265 -1.98724e-06 6.66889e-05 0.103293 -1.54964e-06 0.000134589 0.123859 1.05427e-05 0 0.120065 4.11726e-06 7.8 8 355058 131380 29990 14860 2976
8.1 0.000141628 0.0880494 -1.66861e-05 0.000134977 0.0969808 -1.03897e-05 0.000294991 0.119837 -1.6231e-05 0.000781063 0.117285 0.000367674 8 8.2 283400 107154 26316 12820 2506
8.3 0.000603793 0.0860724 9.16165e-06 0.000517323 0.092112 5.59887e-05 0.00121532 0.117785 0 0.000898079 0.120402 -6.75701e-05 8.2 8.4 223595 83810 22348 10940 2078
8.5 0.00145778 0.0894956 2.09624e-05 0.00113778 0.0888543 0 0.00281429 0.111288 0 0.00311722 0.113263 0.000480701 8.4 8.6 174617 64314 18823 8986 1814
8.7 0.00359654 0.086338 0 0.00235442 0.0795237 0 0.00574967 0.110666 0.00011306 0.0135323 0.0939083 0.0020658 8.6 8.8 135651 49231 15583 7474 1435
8.9 0.00855481 0.0819047 0 0.00408464 0.0674915 -0.000966746 0.0138581 0.113616 0.0006141 0.00511196 0.113609 -0.00789682 8.8 9 105141 37476 12340 6183 1239
9.1 0.0179705 0.0833159 0 0.00727955 0.06057 0 0.0302958 0.0974419 0.00162261 0.0346866 0.095197 0.00470965 9 9.2 81507 28510 9174 5298 955
9.3 0.032419 0.0778657 0.003942 0.00634775 0.063236 -0.00156111 0.0516702 0.0986519 0.00885872 0.0428385 0.0945739 0.00343329 9.2 9.4 64029 21844 6437 4380 826
9.5 0.0614873 0.084133 0.0141828 0.0116456 0.0656653 0.00230574 0.0887137 0.0960191 0.0185775 0.0966884 0.0771821 0.0267811 9.4 9.6 51253 17100 4305 3855 687
9.7 0.0870169 0.0781997 0.0212075 -0.00346199 0.0618298 0.00705977 0.135501 0.0728128 0.0317755 0.1464 0.0713415 0.0393132 9.6 9.8 42807 13780 2755 3403 589
9.9 0.109458 0.0882591 0.0271673 -0.0307114 0.0721431 0.0132308 0.169067 0.0760074 0.0344465 0.156931 0.10065 0.0119486 9.8 10 37711 11582 1598 3257 537
10.1 0.136849 0.0755243 0.0466555 -0.0721981 0.0856385 0.0122599 0.205602 0.0730888 0.0496538 0.233976 0.0531614 0.0431902 10 10.2 33517 9595 823 3012 531
10.3 0.144337 0.0714655 0.0416485 -0.0956934 0.0879212 0.031505 0.210774 0.0743658 0.0389911 0.243197 0.0612332 0.0389066 10.2 10.4 31249 8280 445 2830 531
10.5 0.147173 0.0733149 0.0422803 -0.118896 0.0904621 0.0406834 0.20831 0.0660347 0.0393466 0.274335 0.0572211 0.0610173 10.4 10.6 27151 6529 197 2441 433
10.7 0.166308 0.0476772 0.0418904 -0.086453 0.081958 0.0874757 0.175422 0.0444609 0.0300967 0.330307 0.00661317 0.0585494 10.6 10.8 21464 4820 78 1945 414
10.9 0.156099 0.0446315 0.038773 -0.284726 0.202289 -0.0299093 0.162139 0.0315395 0.0419728 0.312923 0.0218768 0.0409718 10.8 11 14288 2868 21 1187 316
11.1 0.158409 0.0257268 0.0515208 -0.353664 0.184965 0.163775 0.104212 0.0178828 0.0433009 0.301459 0.0179856 0.0583991 11 11.2 7456 1420 7 546 198
11.3 0.122215 0.0153918 0.0352334 0.102187 0.23181 0.22548 0.00130934 0.059834 0.0558326 0.257742 0.0214623 0.0669866 11.2 11.4 2707 466 3 152 90
11.5 0.0787435 0.0559705 0.0415946 -0.671256 0.0527593 0.114458 -0.0850496 0.150448 0.0744899 0.328744 -0.0116704 0.174922 11.4 11.6 677 96 0 29 20
11.7 0.270833 -0.0644841 0.21369 -0.729167 0.014881 0.152189 0.270833 -0.011574 0.43961 0.270833 0.00764769 0.155891 11.6 11.8 102 6 0 2 3
11.9 -1 1.16667 0 -1 0.25 0 -1 0.5 0 -1 1.16129 0 11.8 12 3 0 0 0 0
12.1 -1 1 0 -1 1 0 -1 1 0 -1 1 0 12 12.2 1 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
