#Observed stellar mass range: 10.6 < log10(M*/Msun) < 10.8
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
1.002310 0.046128 0.0415099 0.00840506 0.904557 0.0692545 0.062305 16671 17466
0.994717 0.0752204 0.0658751 0.00828432 0.867342 0.057381 0.0784057 16671 17466
0.987123 0.0976546 0.0533198 0.00616679 0.83883 0.0610144 0.0786796 16671 17466
0.979529 0.11433 0.0439363 0.0058334 0.818276 0.0581981 0.08095 16671 17466
0.971935 0.127287 0.0396299 0.00623129 0.799611 0.057696 0.0830766 16671 17466
0.964342 0.137964 0.0393845 0.00797747 0.786156 0.0571936 0.0841922 16671 17466
0.956748 0.143303 0.0411565 0.00560957 0.772988 0.049709 0.0844722 16671 17466
0.949154 0.15452 0.0386981 0.00666676 0.760048 0.0486147 0.0862759 16671 17466
0.941560 0.160758 0.0382154 0.00806703 0.749857 0.0438387 0.0881837 16671 17466
0.933967 0.164597 0.0382341 0.00754689 0.738521 0.0428036 0.0876793 16671 17466
0.926373 0.169516 0.0378469 0.0120521 0.724722 0.0448372 0.0849436 16671 17466
0.918779 0.175334 0.0371309 0.0132756 0.716306 0.0452453 0.0836394 16671 17466
0.911185 0.180673 0.0362494 0.0133911 0.706229 0.0445044 0.08271 16671 17466
0.903592 0.186671 0.0366148 0.0132027 0.699416 0.0422263 0.0838615 16671 17466
0.895998 0.19141 0.0355311 0.0138796 0.691744 0.0385937 0.0842657 16671 17466
0.888404 0.196569 0.0359126 0.014791 0.680293 0.0428887 0.0829648 16671 17466
0.880810 0.201548 0.0385316 0.0149425 0.673537 0.0394405 0.0830213 16671 17466
0.873217 0.204067 0.0388339 0.0143677 0.661628 0.0397584 0.0784317 16671 17466
0.865623 0.205687 0.0400051 0.0160495 0.654357 0.039567 0.0762202 16671 17466
0.858029 0.207726 0.0408375 0.0154061 0.648059 0.0398977 0.0748116 16671 17466
0.850435 0.209046 0.0398063 0.0170384 0.642047 0.0371968 0.0734251 16671 17466
0.842842 0.210125 0.0397805 0.0171103 0.636608 0.0366023 0.0702135 16671 17466
0.835248 0.209825 0.0397052 0.0162435 0.631742 0.0342695 0.071324 16671 17466
0.827654 0.212285 0.0420672 0.0171718 0.627677 0.0331686 0.0741087 16671 17466
0.820060 0.215824 0.0376462 0.0207718 0.618573 0.0337082 0.0676476 16671 17466
0.812467 0.215704 0.0406467 0.0208458 0.610958 0.0345904 0.067592 16671 17466
0.804873 0.216064 0.0396676 0.0214408 0.609355 0.0313483 0.0685109 16671 17466
0.797279 0.217743 0.0392467 0.0210159 0.600767 0.0294151 0.0665753 16671 17466
0.789685 0.219843 0.0397882 0.0226257 0.596244 0.028237 0.0695047 16671 17466
0.782092 0.219303 0.0406398 0.0227344 0.584221 0.0315914 0.0641016 16671 17466
0.774498 0.223922 0.0379913 0.0258776 0.579984 0.0301425 0.061326 16671 17466
0.766904 0.224522 0.038923 0.0258391 0.574602 0.0295383 0.0591729 16671 17466
0.759310 0.224822 0.0388326 0.0246475 0.568304 0.0282909 0.0562978 16671 17466
0.751717 0.221882 0.0419814 0.0210868 0.560632 0.0286008 0.0566374 16671 17466
0.744123 0.225541 0.0411387 0.0240548 0.554678 0.0272037 0.0582204 16671 17466
0.736529 0.222182 0.0424497 0.0221326 0.54712 0.0279801 0.0561912 16671 17466
0.728935 0.222962 0.0440336 0.0247146 0.541967 0.028203 0.0567532 16671 17466
0.721342 0.224222 0.043623 0.022787 0.536814 0.0254478 0.0561318 16671 17466
0.713748 0.226201 0.0425514 0.0251543 0.527654 0.0272345 0.0530999 16671 17466
0.706154 0.225241 0.0457457 0.0254162 0.523073 0.0278464 0.0511618 16671 17466
0.698560 0.227701 0.0421918 0.0264478 0.516088 0.0248452 0.0500433 16671 17466
