#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.984027 0.00838566 0.0667521 0.992773 0.00122714 0.0686305 0.990909 0.00537342 0.0610026 7.2 7.4 708715 27048 24615 17310
7.5 0.99095 0.0038684 0.0801404 0.991288 0.00283444 0.0659677 0.994565 0.00114912 0.0631523 7.4 7.6 586565 25048 22195 15516
7.7 0.98476 0.00871855 0.0757447 0.990179 0.00469649 0.0672711 0.987156 0.00642693 0.0575264 7.6 7.8 477786 22016 19344 13269
7.9 0.98478 0.0069297 0.0711999 0.98908 0.00511903 0.0682397 0.991259 0.000888884 0.0647332 7.8 8 390230 20030 17228 11760
8.1 0.987104 0.002527 0.0709134 0.987647 0.00485331 0.0635472 0.985409 0.00683635 0.0588294 8 8.2 319391 18885 15480 10210
8.3 0.98594 8.13007e-05 0.0709555 0.990177 -0.000826061 0.0718095 0.984277 0.00432366 0.0711253 8.2 8.4 261147 17490 13723 8921
8.5 0.980709 0.00247383 0.0693772 0.993528 -0.00464588 0.0717769 0.988625 -0.00220698 0.0764784 8.4 8.6 207466 15366 11801 7483
8.7 0.987929 -0.00481296 0.0769264 0.977731 0.00522757 0.0595954 0.980188 0.00188553 0.0651097 8.6 8.8 163500 13055 9867 6319
8.9 0.969949 0.00474864 0.0615356 0.980014 -0.00131011 0.0742349 0.977169 0.00165236 0.0707945 8.8 9 130403 11059 8335 5146
9.1 0.968254 -0.00207585 0.0578795 0.963904 0.00551349 0.0598575 0.944559 0.01939 0.0571465 9 9.2 105980 9067 7049 4418
9.3 0.959184 -0.00172377 0.0497544 0.949569 0.00583202 0.0630267 0.939627 0.011945 0.0632125 9.2 9.4 88226 7307 6128 3788
9.5 0.955869 -0.00275582 0.0422391 0.923784 0.00675577 0.0598956 0.916031 0.0133375 0.0635232 9.4 9.6 75298 5853 5232 3434
9.7 0.948373 -0.00126517 0.0456962 0.873248 0.0255348 0.0417754 0.867633 0.0230197 0.0456933 9.6 9.8 65942 4337 4722 3048
9.9 0.925414 0.00401014 0.0317435 0.824239 0.0271316 0.0352997 0.822111 0.0290241 0.0430607 9.8 10 59664 2998 4637 2915
10.1 0.912322 0.00909227 0.0333837 0.734121 0.0427496 0.0148957 0.751436 0.0326723 0.0356733 10 10.2 54628 1850 4312 2552
10.3 0.892704 0.0178921 0.0216237 0.67267 0.0286067 0.0154877 0.661829 0.039938 0.0189716 10.2 10.4 50534 923 4160 2491
10.5 0.889908 -0.0138752 0.0642202 0.625453 0.0195429 0.0213046 0.580439 0.0243136 0.0154787 10.4 10.6 44615 377 3810 2318
10.7 0.788462 0.0686813 0.0257497 0.583001 0.0217003 0.026226 0.485531 0.0282742 0.016414 10.6 10.8 35224 148 2835 1866
10.9 0.941176 0.00619197 0.163399 0.609665 -0.00182229 0.0574799 0.389796 0.0319022 0.014556 10.8 11 23361 36 1771 1360
11.1 1 0 0.2 0.54902 0.00195122 0.0589206 0.325203 0.00531715 0.0502892 11 11.2 11865 9 701 722
11.3 1 0 1 0.60396 -0.0420556 0.180431 0.195489 0.0209292 0.0438494 11.2 11.4 4632 1 159 295
11.5 0 0 0 0.5 0.205882 0.3 0.134146 0.0100844 0.0683569 11.4 11.6 1296 0 12 87
11.7 0 0 0 0 0 0 0 0.0714286 0 11.6 11.8 282 0 1 10
11.9 0 0 0 0 0 0 0 0 0 11.8 12 56 0 0 0
12.1 0 0 0 0 0 0 0 0 0 12 12.2 4 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
