#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 2.156479 0.403129 0.327984 -6.604304 0.403129 0.327982 2.404448 0.365830 0.306604 -6.356337 0.365832 0.306602 8.625 8.875 142488
9 2.684392 0.337682 0.313735 -6.327784 0.337683 0.313738 2.933768 0.341662 0.302045 -6.078408 0.341661 0.302046 8.875 9.125 235032
9.25 3.375328 0.296565 0.281600 -5.891315 0.296566 0.281600 3.624690 0.304709 0.259345 -5.641952 0.304708 0.259345 9.125 9.375 884923
9.5 4.359328 0.298045 0.215722 -5.164990 0.298045 0.215719 4.608253 0.259940 0.219038 -4.916062 0.259937 0.219038 9.375 9.625 2.72617e+06
9.75 5.323519 0.269650 0.178009 -4.424576 0.269655 0.178007 5.572675 0.230594 0.185526 -4.175419 0.230589 0.185527 9.625 9.875 4.78977e+06
10 6.068038 0.204554 0.135345 -3.921175 0.204588 0.135356 6.317130 0.179712 0.151015 -3.672088 0.179714 0.151006 9.875 10.125 3.97983e+06
10.25 6.632353 0.159946 0.111866 -3.608757 0.160405 0.111827 6.881520 0.132374 0.111503 -3.359593 0.132412 0.111489 10.125 10.375 2.55255e+06
10.5 7.117075 0.127903 0.089472 -3.374257 0.127909 0.089458 7.366109 0.106520 0.101580 -3.125221 0.106621 0.101202 10.375 10.625 1.58395e+06
10.75 7.573703 0.098730 0.068985 -3.164498 0.098774 0.069309 7.822971 0.099803 0.098674 -2.915230 0.099613 0.098661 10.625 10.875 914000
11 8.044170 0.061422 0.051723 -2.943186 0.061382 0.051718 8.292918 0.089912 0.099129 -2.694438 0.089919 0.099137 10.875 11.125 493174
11.25 8.514007 0.027144 0.044066 -2.722937 0.027183 0.044027 8.762702 0.084030 0.110262 -2.474241 0.084014 0.110292 11.125 11.375 260958
11.5 8.982624 0.016931 0.038377 -2.503536 0.016935 0.038343 9.231863 0.100029 0.128508 -2.254295 0.100029 0.128552 11.375 11.625 135755
11.75 9.462520 0.022912 0.032120 -2.273395 0.022891 0.032107 9.710910 0.105649 0.124453 -2.025005 0.105644 0.124437 11.625 11.875 69208
12 9.942309 0.029991 0.026266 -2.042517 0.029984 0.026259 10.191841 0.106217 0.115394 -1.792984 0.106227 0.115394 11.875 12.125 33950
12.25 10.346539 0.043038 0.024076 -1.886726 0.043029 0.024076 10.594588 0.110957 0.111071 -1.638681 0.110973 0.111071 12.125 12.375 15944
12.5 10.604812 0.059048 0.035685 -1.879332 0.058928 0.035685 10.851892 0.130955 0.120572 -1.632255 0.130920 0.120571 12.375 12.625 7089
12.75 10.755593 0.081718 0.056788 -1.973724 0.081741 0.056784 11.004163 0.157077 0.129147 -1.725157 0.157052 0.129177 12.625 12.875 2853
13 10.849809 0.133223 0.073895 -2.129565 0.133226 0.073896 11.098525 0.184306 0.141296 -1.880849 0.184309 0.141306 12.875 13.125 1067
13.25 10.928748 0.155816 0.093818 -2.295187 0.155815 0.093814 11.185001 0.195134 0.159662 -2.038934 0.195134 0.159662 13.125 13.375 325
13.5 10.929544 0.190335 0.100409 -2.537019 0.190518 0.100407 11.209941 0.219157 0.160062 -2.256625 0.219162 0.160059 13.375 13.625 97
13.75 10.847031 0.226368 0.116859 -2.860959 0.226368 0.116859 11.111176 0.257560 0.190544 -2.596812 0.257559 0.190545 13.625 13.875 12
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.875 14.125 0
14.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.125 14.375 0
14.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.375 14.625 0
14.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.625 14.875 0
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
