#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.978271 0.422187 0.371554 -6.783098 0.422187 0.371554 2.221847 0.403278 0.332966 -6.539524 0.403279 0.332963 8.625 8.875 101841
9 2.503490 0.371079 0.353979 -6.508950 0.371078 0.353980 2.746916 0.379554 0.330806 -6.265524 0.379555 0.330805 8.875 9.125 172634
9.25 3.210252 0.322377 0.309778 -6.057965 0.322377 0.309776 3.453689 0.347167 0.295988 -5.814526 0.347165 0.295989 9.125 9.375 695870
9.5 4.229281 0.275904 0.242477 -5.296716 0.275906 0.242476 4.472422 0.273080 0.248925 -5.053574 0.273080 0.248922 9.375 9.625 2.32734e+06
9.75 5.244205 0.245356 0.185400 -4.505941 0.245354 0.185397 5.487637 0.210233 0.186612 -4.262511 0.210237 0.186610 9.625 9.875 4.52386e+06
10 6.027503 0.200912 0.147635 -3.963242 0.200911 0.147618 6.270752 0.186093 0.158428 -3.719993 0.186100 0.158419 9.875 10.125 4.12472e+06
10.25 6.608310 0.164178 0.111281 -3.632769 0.164232 0.111361 6.851609 0.118924 0.127990 -3.389468 0.118883 0.127926 10.125 10.375 2.72145e+06
10.5 7.101928 0.128047 0.086797 -3.389947 0.128130 0.086862 7.344955 0.111121 0.109757 -3.146922 0.110997 0.109581 10.375 10.625 1.69996e+06
10.75 7.567698 0.090213 0.067531 -3.171194 0.090213 0.067569 7.811093 0.102935 0.103410 -2.927799 0.102932 0.103535 10.625 10.875 1.0166e+06
11 8.043843 0.051892 0.049028 -2.944047 0.051847 0.049043 8.287072 0.098663 0.104224 -2.700822 0.098677 0.104236 10.875 11.125 560158
11.25 8.520252 0.017464 0.038062 -2.717197 0.017485 0.038049 8.763918 0.091310 0.120566 -2.473530 0.091305 0.120553 11.125 11.375 304782
11.5 9.001784 0.017448 0.033822 -2.485126 0.017434 0.033824 9.244899 0.092831 0.124178 -2.242012 0.092866 0.124187 11.375 11.625 164051
11.75 9.508552 0.024503 0.023553 -2.228367 0.024484 0.023572 9.751413 0.107797 0.116677 -1.985504 0.107793 0.116717 11.625 11.875 87235
12 10.013505 0.034369 0.026040 -1.972314 0.034372 0.026049 10.258142 0.098418 0.107057 -1.727676 0.098412 0.107104 11.875 12.125 45061
12.25 10.409214 0.040560 0.025270 -1.826349 0.040558 0.025260 10.652929 0.104497 0.102818 -1.582633 0.104492 0.102809 12.125 12.375 22543
12.5 10.618736 0.057966 0.034642 -1.865873 0.057934 0.034697 10.859960 0.118933 0.112619 -1.624650 0.118896 0.112627 12.375 12.625 10787
12.75 10.729838 0.084708 0.049715 -2.001673 0.084600 0.049694 10.967526 0.149872 0.110490 -1.763989 0.149771 0.110493 12.625 12.875 4893
13 10.811941 0.132949 0.060837 -2.171388 0.132912 0.060838 11.055231 0.180053 0.124240 -1.928094 0.180018 0.124241 12.875 13.125 2015
13.25 10.913888 0.136971 0.067852 -2.311585 0.136974 0.067851 11.157739 0.172562 0.134168 -2.067736 0.172563 0.134261 13.125 13.375 759
13.5 10.972003 0.150265 0.066936 -2.502923 0.150263 0.066887 11.202722 0.187275 0.141851 -2.272205 0.187320 0.141806 13.375 13.625 249
13.75 11.076472 0.142270 0.092899 -2.637755 0.142272 0.092895 11.296759 0.167803 0.146853 -2.417467 0.167804 0.146854 13.625 13.875 61
14 11.275616 0.075005 0.138871 -2.688301 0.075005 0.138871 11.473724 0.113980 0.167455 -2.490191 0.113980 0.167456 13.875 14.125 6
14.25 11.001008 0.330353 0.138585 -3.201912 0.330353 0.138586 11.138434 0.359804 0.167751 -3.064486 0.359804 0.167752 14.125 14.375 1
14.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.375 14.625 0
14.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.625 14.875 0
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
