#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.705723 0.473707 0.459184 -7.056002 0.473710 0.459184 1.934807 0.483106 0.441752 -6.826914 0.483102 0.441756 8.625 8.875 47370
9 2.242846 0.435389 0.435035 -6.770747 0.435389 0.435036 2.471635 0.394593 0.430915 -6.541958 0.394593 0.430914 8.875 9.125 84597
9.25 2.988222 0.396992 0.386995 -6.283052 0.396993 0.386997 3.217413 0.365230 0.377667 -6.053861 0.365232 0.377669 9.125 9.375 392904
9.5 4.051434 0.319084 0.290323 -5.477896 0.319085 0.290325 4.280562 0.311245 0.310122 -5.248767 0.311245 0.310125 9.375 9.625 1.53621e+06
9.75 5.160421 0.258801 0.219079 -4.594148 0.258803 0.219078 5.389688 0.242670 0.235436 -4.364882 0.242665 0.235435 9.625 9.875 3.66036e+06
10 6.025967 0.186946 0.151533 -3.967402 0.186951 0.151531 6.255018 0.182360 0.174522 -3.738347 0.182352 0.174523 9.875 10.125 4.12683e+06
10.25 6.628190 0.141385 0.107080 -3.612988 0.141370 0.107144 6.857270 0.159371 0.136475 -3.383909 0.159378 0.136435 10.125 10.375 2.82368e+06
10.5 7.120971 0.100191 0.085812 -3.370871 0.100321 0.085783 7.349916 0.122868 0.121920 -3.141925 0.122992 0.121321 10.375 10.625 1.75862e+06
10.75 7.608251 0.066284 0.063045 -3.132053 0.066271 0.063046 7.837171 0.107953 0.120567 -2.903131 0.107990 0.120510 10.625 10.875 1.08816e+06
11 8.094390 0.028286 0.039389 -2.894173 0.028291 0.039477 8.323293 0.097184 0.122761 -2.665269 0.097108 0.122771 10.875 11.125 631278
11.25 8.590930 0.019091 0.032855 -2.647372 0.019065 0.032832 8.819834 0.101228 0.121380 -2.418470 0.101166 0.121472 11.125 11.375 355994
11.5 9.124621 0.024530 0.028511 -2.363419 0.024526 0.028508 9.353837 0.099534 0.116484 -2.134204 0.099529 0.116529 11.375 11.625 200744
11.75 9.715891 0.023526 0.029969 -2.021778 0.023514 0.029933 9.945045 0.090334 0.108681 -1.792620 0.090302 0.108676 11.625 11.875 112154
12 10.231902 0.023542 0.020427 -1.755639 0.023518 0.020427 10.461130 0.096342 0.106041 -1.526410 0.096303 0.106083 11.875 12.125 62315
12.25 10.528075 0.027732 0.014862 -1.709077 0.027749 0.014844 10.757942 0.098454 0.098548 -1.479208 0.098492 0.098532 12.125 12.375 33490
12.5 10.636036 0.057409 0.029321 -1.850698 0.057407 0.029308 10.864779 0.123132 0.104613 -1.621956 0.123130 0.104611 12.375 12.625 17986
12.75 10.695926 0.090672 0.035536 -2.040134 0.090738 0.035481 10.927064 0.146110 0.100327 -1.808992 0.146175 0.100332 12.625 12.875 9077
13 10.776822 0.101749 0.031854 -2.207461 0.101676 0.031944 11.006116 0.150884 0.102037 -1.978169 0.150831 0.102110 12.875 13.125 4488
13.25 10.876351 0.100357 0.040736 -2.356095 0.100326 0.040756 11.104445 0.151590 0.106636 -2.128005 0.151484 0.106717 13.125 13.375 2078
13.5 10.988246 0.097349 0.041706 -2.495310 0.097348 0.041703 11.218732 0.153098 0.111413 -2.264822 0.153137 0.111416 13.375 13.625 864
13.75 11.087676 0.092750 0.051327 -2.639583 0.092757 0.051326 11.317827 0.144490 0.117720 -2.409429 0.144737 0.117716 13.625 13.875 327
14 11.286460 0.070807 0.047885 -2.682387 0.070807 0.047884 11.483263 0.123383 0.113028 -2.485586 0.123382 0.113030 13.875 14.125 106
14.25 11.273517 0.091784 0.072620 -2.949293 0.091784 0.072619 11.503859 0.122499 0.125759 -2.718951 0.122499 0.125759 14.125 14.375 18
14.5 11.268580 0.150382 0.062304 -3.166289 0.150382 0.062304 11.394811 0.184417 0.088541 -3.040059 0.184417 0.088541 14.375 14.625 2
14.75 10.979992 0.479819 0.005452 -3.728953 0.479820 0.005452 11.305665 0.479980 -0.010209 -3.403281 0.479980 -0.010209 14.625 14.875 1
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
