#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.571940 0.395632 0.355888 -7.188735 0.395631 0.355886 1.757844 0.403462 0.368529 -7.002830 0.403461 0.368531 8.625 8.875 27135
9 2.168810 0.387292 0.342376 -6.844775 0.387295 0.342375 2.355086 0.371481 0.358451 -6.658496 0.371482 0.358451 8.875 9.125 46783
9.25 2.942045 0.334669 0.294999 -6.328433 0.334666 0.295000 3.128308 0.329935 0.313934 -6.142171 0.329934 0.313935 9.125 9.375 216078
9.5 4.006436 0.297119 0.200420 -5.521581 0.297117 0.200421 4.192517 0.309096 0.222579 -5.335499 0.309096 0.222579 9.375 9.625 767198
9.75 5.262872 0.227892 0.162582 -4.498262 0.227891 0.162581 5.448829 0.233011 0.194608 -4.312304 0.233013 0.194610 9.625 9.875 2.11434e+06
10 6.254619 0.160367 0.117645 -3.742633 0.160364 0.117647 6.440551 0.160061 0.158808 -3.556707 0.160067 0.158804 9.875 10.125 3.31104e+06
10.25 6.862320 0.108140 0.085065 -3.379689 0.108157 0.085085 7.048094 0.138717 0.130991 -3.193913 0.138712 0.130992 10.125 10.375 2.4852e+06
10.5 7.361193 0.061678 0.052497 -3.130614 0.061700 0.052469 7.547143 0.120864 0.112987 -2.944661 0.120942 0.112937 10.375 10.625 1.57789e+06
10.75 7.861583 0.032704 0.030366 -2.879427 0.032840 0.030503 8.047392 0.108756 0.111377 -2.693619 0.108978 0.111460 10.625 10.875 981104
11 8.370633 0.030216 0.017035 -2.619402 0.030319 0.017056 8.556573 0.108452 0.102488 -2.433460 0.108532 0.102454 10.875 11.125 606247
11.25 8.904552 0.030547 0.009354 -2.334517 0.030557 0.009343 9.090343 0.107748 0.100830 -2.148723 0.107753 0.100847 11.125 11.375 360163
11.5 9.460545 0.029408 0.008989 -2.028155 0.029411 0.009013 9.646838 0.103224 0.103960 -1.841862 0.103227 0.103958 11.375 11.625 212274
11.75 9.963111 0.020074 0.012622 -1.775771 0.020073 0.012620 10.149222 0.097512 0.103310 -1.589659 0.097500 0.103359 11.625 11.875 124797
12 10.341057 0.014854 0.013863 -1.647806 0.014868 0.013879 10.527267 0.090668 0.101528 -1.461591 0.090671 0.101562 11.875 12.125 72762
12.25 10.568308 0.021782 0.009248 -1.671148 0.021770 0.009240 10.754597 0.105445 0.093169 -1.484861 0.105438 0.093165 12.125 12.375 42192
12.5 10.685843 0.045103 0.013844 -1.802226 0.045111 0.013865 10.872615 0.123191 0.089605 -1.615454 0.123191 0.089674 12.375 12.625 24290
12.75 10.773046 0.065954 0.023867 -1.963833 0.065935 0.023891 10.958274 0.126518 0.093840 -1.778606 0.126515 0.093908 12.625 12.875 13886
13 10.877551 0.063566 0.021137 -2.109066 0.063558 0.021165 11.063090 0.131866 0.100197 -1.923527 0.131863 0.100148 12.875 13.125 7837
13.25 10.994233 0.050878 0.022576 -2.243068 0.050880 0.022668 11.181333 0.126461 0.097439 -2.055972 0.126476 0.097438 13.125 13.375 4290
13.5 11.120680 0.040391 0.028003 -2.366500 0.040303 0.028023 11.306841 0.119862 0.099870 -2.180342 0.119865 0.099854 13.375 13.625 2286
13.75 11.257822 0.036875 0.032785 -2.481129 0.036850 0.032789 11.437025 0.110022 0.109435 -2.301928 0.110031 0.109554 13.625 13.875 1178
14 11.369914 0.036030 0.045630 -2.616409 0.035994 0.045633 11.561479 0.105101 0.115352 -2.424846 0.104967 0.115501 13.875 14.125 540
14.25 11.495835 0.042494 0.063360 -2.737859 0.042491 0.063363 11.685268 0.100397 0.126977 -2.548425 0.100397 0.126979 14.125 14.375 251
14.5 11.631454 0.054882 0.062627 -2.827834 0.054883 0.062627 11.816568 0.102251 0.129690 -2.642720 0.102250 0.129690 14.375 14.625 76
14.75 11.707809 0.069579 0.072661 -3.011674 0.069582 0.072660 11.915145 0.128441 0.128019 -2.804337 0.128441 0.128019 14.625 14.875 28
15 11.928279 0.066165 0.123525 -3.051185 0.066165 0.123524 12.134270 0.113510 0.171690 -2.845193 0.113509 0.171691 14.875 15.125 2
15.25 12.267549 0.106109 0.081639 -2.961018 0.106109 0.081639 12.392125 0.140758 0.143591 -2.836442 0.140758 0.143590 15.125 15.375 1
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
