#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.531579 0.515942 0.405259 -7.229867 0.515942 0.405260 1.737585 0.515245 0.414203 -7.023862 0.515244 0.414202 8.625 8.875 28292
9 2.114923 0.438691 0.362100 -6.898539 0.438691 0.362101 2.320717 0.433581 0.370325 -6.692748 0.433579 0.370327 8.875 9.125 50096
9.25 2.904361 0.393520 0.329852 -6.367312 0.393519 0.329854 3.110317 0.417881 0.340761 -6.161356 0.417881 0.340760 9.125 9.375 238533
9.5 3.984016 0.339679 0.279607 -5.545565 0.339678 0.279609 4.190070 0.320054 0.312541 -5.339511 0.320053 0.312541 9.375 9.625 911156
9.75 5.206763 0.262948 0.226663 -4.553482 0.262946 0.226664 5.412778 0.242117 0.264781 -4.347471 0.242121 0.264779 9.625 9.875 2.59007e+06
10 6.144109 0.175552 0.159032 -3.851554 0.175554 0.159032 6.350087 0.170527 0.193011 -3.645579 0.170528 0.193010 9.875 10.125 3.68617e+06
10.25 6.751425 0.123036 0.110427 -3.490229 0.123075 0.110419 6.957505 0.139864 0.150786 -3.284148 0.139879 0.150771 10.125 10.375 2.65365e+06
10.5 7.244996 0.077877 0.077334 -3.246635 0.077867 0.077279 7.451050 0.121237 0.134152 -3.040580 0.121372 0.133986 10.375 10.625 1.66678e+06
10.75 7.745813 0.036333 0.049559 -2.995057 0.036411 0.049710 7.951842 0.107507 0.129673 -2.789029 0.107752 0.129711 10.625 10.875 1.03497e+06
11 8.247998 0.026166 0.035212 -2.741420 0.026151 0.035209 8.454075 0.114003 0.120494 -2.535345 0.113987 0.120511 10.875 11.125 632524
11.25 8.784931 0.027818 0.030462 -2.454013 0.027714 0.030465 8.990842 0.113066 0.117799 -2.248097 0.112997 0.117785 11.125 11.375 367179
11.5 9.376732 0.021431 0.028996 -2.111844 0.021410 0.028990 9.582618 0.093120 0.111274 -1.905955 0.093127 0.111270 11.375 11.625 214180
11.75 9.947702 0.012971 0.023605 -1.790923 0.012983 0.023601 10.153031 0.089170 0.115640 -1.585598 0.089191 0.115626 11.625 11.875 123806
12 10.359175 0.007269 0.018976 -1.629503 0.007259 0.018990 10.564620 0.082700 0.109801 -1.424061 0.082684 0.109809 11.875 12.125 71394
12.25 10.572909 0.019227 0.012172 -1.666048 0.019181 0.012213 10.778808 0.105307 0.096395 -1.460148 0.105343 0.096464 12.125 12.375 40902
12.5 10.659727 0.057437 0.022746 -1.828604 0.057392 0.022783 10.865940 0.130076 0.093120 -1.622391 0.130079 0.093141 12.375 12.625 22762
12.75 10.730037 0.077526 0.023385 -2.007812 0.077637 0.023290 10.935784 0.138763 0.097733 -1.802067 0.138778 0.097722 12.625 12.875 12751
13 10.830023 0.072527 0.020798 -2.156118 0.072477 0.020796 11.035530 0.133449 0.099005 -1.950607 0.133438 0.099039 12.875 13.125 6912
13.25 10.938805 0.062936 0.021660 -2.297478 0.062964 0.021663 11.146211 0.130720 0.105537 -2.090074 0.130754 0.105537 13.125 13.375 3610
13.5 11.046195 0.055168 0.024951 -2.440184 0.055110 0.024864 11.254066 0.127082 0.103484 -2.232316 0.127010 0.103632 13.375 13.625 1817
13.75 11.180809 0.047419 0.029314 -2.554848 0.047379 0.029347 11.386458 0.111157 0.112053 -2.349193 0.111153 0.111916 13.625 13.875 884
14 11.298614 0.051667 0.046886 -2.677118 0.051670 0.047131 11.499442 0.107863 0.110585 -2.476290 0.107437 0.110927 13.875 14.125 366
14.25 11.434199 0.052257 0.072065 -2.789299 0.052255 0.072066 11.632579 0.097078 0.120487 -2.590922 0.097078 0.120490 14.125 14.375 142
14.5 11.586041 0.049568 0.095921 -2.892153 0.049569 0.095918 11.774584 0.106146 0.150650 -2.703609 0.106145 0.150650 14.375 14.625 32
14.75 11.585929 0.109451 0.093014 -3.075888 0.109452 0.093013 11.804171 0.144773 0.143903 -2.857647 0.144774 0.143903 14.625 14.875 7
15 11.881354 0.158354 0.063767 -3.081671 0.158354 0.063767 12.030878 0.185628 0.089470 -2.932147 0.185628 0.089471 14.875 15.125 2
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
