#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.568762 0.519549 0.423741 -7.192669 0.519547 0.423741 1.779691 0.503633 0.451398 -6.981740 0.503632 0.451398 8.625 8.875 29559
9 2.134405 0.456131 0.399795 -6.879592 0.456133 0.399793 2.347847 0.451020 0.413078 -6.666150 0.451021 0.413077 8.875 9.125 53105
9.25 2.912236 0.400345 0.353598 -6.359601 0.400342 0.353600 3.125464 0.402758 0.384670 -6.146374 0.402760 0.384668 9.125 9.375 252417
9.5 3.994014 0.339133 0.310006 -5.536662 0.339134 0.310006 4.207073 0.315424 0.336052 -5.323603 0.315423 0.336051 9.375 9.625 1.01912e+06
9.75 5.182374 0.266795 0.234216 -4.576509 0.266792 0.234215 5.395415 0.251515 0.255229 -4.363469 0.251514 0.255229 9.625 9.875 2.87274e+06
10 6.102898 0.190255 0.160940 -3.892111 0.190255 0.160948 6.315813 0.183838 0.192548 -3.679199 0.183837 0.192543 9.875 10.125 3.83373e+06
10.25 6.710802 0.133700 0.109629 -3.530741 0.133682 0.109652 6.923781 0.140619 0.148520 -3.317758 0.140638 0.148449 10.125 10.375 2.71621e+06
10.5 7.200957 0.090591 0.079206 -3.290672 0.090624 0.079351 7.414100 0.116997 0.135340 -3.077527 0.117149 0.135264 10.375 10.625 1.70029e+06
10.75 7.700193 0.044160 0.053694 -3.040641 0.044198 0.053889 7.913325 0.111804 0.126729 -2.827507 0.111613 0.126582 10.625 10.875 1.05586e+06
11 8.197571 0.024261 0.039587 -2.791537 0.024236 0.039639 8.410677 0.103515 0.124641 -2.578432 0.103518 0.124651 10.875 11.125 638381
11.25 8.724640 0.026057 0.032254 -2.514214 0.026004 0.032249 8.937840 0.117064 0.120091 -2.301011 0.117068 0.120088 11.125 11.375 368397
11.5 9.312418 0.025149 0.029620 -2.176076 0.025140 0.029630 9.525493 0.093539 0.112911 -1.963003 0.093534 0.112909 11.375 11.625 212777
11.75 9.905890 0.013873 0.024041 -1.832268 0.013864 0.024047 10.118793 0.091628 0.115015 -1.619369 0.091623 0.115012 11.625 11.875 122485
12 10.346592 0.012105 0.019973 -1.641850 0.012102 0.020035 10.560122 0.090327 0.114475 -1.428320 0.090258 0.114468 11.875 12.125 69907
12.25 10.567527 0.022479 0.014074 -1.670363 0.022485 0.014119 10.780960 0.106808 0.093915 -1.456929 0.106830 0.093915 12.125 12.375 39554
12.5 10.649521 0.059037 0.023858 -1.838270 0.059030 0.023854 10.862656 0.134898 0.103428 -1.625139 0.134913 0.103455 12.375 12.625 22031
12.75 10.715445 0.081375 0.024532 -2.022117 0.081237 0.024530 10.928750 0.144089 0.096690 -1.808813 0.143990 0.096789 12.625 12.875 12014
13 10.809055 0.074589 0.021433 -2.177283 0.074596 0.021477 11.020171 0.145387 0.101872 -1.966168 0.145395 0.101923 12.875 13.125 6369
13.25 10.918409 0.070353 0.028728 -2.316746 0.070396 0.028745 11.132561 0.132760 0.102249 -2.102592 0.132775 0.102182 13.125 13.375 3264
13.5 11.018809 0.068141 0.024711 -2.468050 0.068046 0.024689 11.235572 0.133297 0.100189 -2.251290 0.133306 0.100222 13.375 13.625 1570
13.75 11.135594 0.058148 0.030637 -2.598662 0.058150 0.030544 11.349864 0.112917 0.106385 -2.384392 0.112974 0.106329 13.625 13.875 718
14 11.295492 0.049515 0.049999 -2.678424 0.049514 0.049998 11.498735 0.111212 0.115882 -2.475178 0.111210 0.116425 13.875 14.125 287
14.25 11.374008 0.061035 0.057221 -2.842587 0.061033 0.057226 11.587353 0.108690 0.116700 -2.629242 0.108687 0.116702 14.125 14.375 104
14.5 11.571362 0.052617 0.136772 -2.898861 0.052618 0.136772 11.766440 0.093751 0.186168 -2.703784 0.093752 0.186167 14.375 14.625 17
14.75 11.381458 0.123652 0.061434 -3.339664 0.123651 0.061434 11.701672 0.175807 0.114046 -3.019451 0.175806 0.114047 14.625 14.875 4
15 11.734403 0.187654 -0.016379 -3.154816 0.187654 -0.016379 11.929477 0.224769 0.036997 -2.959742 0.224768 0.036997 14.875 15.125 1
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
