#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.576064 0.457538 0.373119 -7.185051 0.457539 0.373119 1.757880 0.415393 0.376572 -7.003236 0.415393 0.376569 8.625 8.875 28461
9 2.167925 0.414386 0.381909 -6.845341 0.414387 0.381906 2.349035 0.363557 0.385900 -6.664231 0.363555 0.385900 8.875 9.125 48764
9.25 2.947732 0.353542 0.329452 -6.322210 0.353542 0.329454 3.129174 0.330044 0.304758 -6.140771 0.330047 0.304759 9.125 9.375 219598
9.5 4.016024 0.288600 0.203172 -5.511473 0.288600 0.203171 4.197203 0.283652 0.231910 -5.330295 0.283652 0.231907 9.375 9.625 757390
9.75 5.276481 0.226048 0.139645 -4.484568 0.226047 0.139646 5.457620 0.226915 0.182897 -4.303427 0.226910 0.182897 9.625 9.875 2.05943e+06
10 6.279851 0.155125 0.106298 -3.717679 0.155122 0.106300 6.460909 0.161814 0.146107 -3.536625 0.161813 0.146104 9.875 10.125 3.23181e+06
10.25 6.887501 0.104646 0.073479 -3.354587 0.104657 0.073452 7.068561 0.137484 0.120713 -3.173532 0.137465 0.120704 10.125 10.375 2.44952e+06
10.5 7.387057 0.060206 0.047478 -3.104795 0.060299 0.047474 7.568060 0.113204 0.107718 -2.923794 0.113206 0.107719 10.375 10.625 1.55975e+06
10.75 7.885687 0.033957 0.025091 -2.855277 0.034114 0.025034 8.066794 0.107523 0.105016 -2.674170 0.107581 0.105153 10.625 10.875 970124
11 8.394293 0.031066 0.014180 -2.595832 0.031130 0.014111 8.575502 0.105504 0.099061 -2.414618 0.105504 0.099025 10.875 11.125 600185
11.25 8.923440 0.032185 0.006190 -2.315688 0.032179 0.006187 9.104696 0.105574 0.098773 -2.134430 0.105533 0.098784 11.125 11.375 357860
11.5 9.468793 0.031578 0.007216 -2.019900 0.031562 0.007217 9.649887 0.106998 0.101134 -1.838807 0.106985 0.101146 11.375 11.625 211479
11.75 9.960267 0.022462 0.011168 -1.778755 0.022466 0.011161 10.141459 0.098312 0.100304 -1.597560 0.098298 0.100370 11.625 11.875 124736
12 10.335865 0.016708 0.014359 -1.653109 0.016721 0.014343 10.517164 0.092784 0.101236 -1.471812 0.092803 0.101225 11.875 12.125 72741
12.25 10.567374 0.021264 0.009372 -1.672495 0.021255 0.009355 10.748652 0.104382 0.092628 -1.491220 0.104373 0.092605 12.125 12.375 42240
12.5 10.690717 0.043593 0.013898 -1.797617 0.043594 0.013904 10.872526 0.123078 0.089525 -1.615805 0.123106 0.089598 12.375 12.625 24439
12.75 10.781139 0.064171 0.022451 -1.956000 0.064162 0.022409 10.962224 0.126369 0.093533 -1.774913 0.126366 0.093522 12.625 12.875 14115
13 10.888126 0.063014 0.020156 -2.099381 0.062912 0.020162 11.068980 0.130259 0.096489 -1.918527 0.130189 0.096471 12.875 13.125 7902
13.25 11.008387 0.050425 0.021613 -2.228634 0.050584 0.021708 11.189888 0.125650 0.096774 -2.047133 0.125621 0.096776 13.125 13.375 4381
13.5 11.135559 0.039939 0.028131 -2.352577 0.040002 0.028140 11.317043 0.117535 0.097672 -2.171091 0.117525 0.097642 13.375 13.625 2350
13.75 11.265776 0.036902 0.031320 -2.471550 0.036774 0.031160 11.448277 0.111450 0.109239 -2.289052 0.111370 0.109290 13.625 13.875 1220
14 11.392488 0.033693 0.045016 -2.593214 0.033554 0.045015 11.572700 0.107327 0.117612 -2.413002 0.107327 0.117752 13.875 14.125 577
14.25 11.516121 0.041644 0.063564 -2.722360 0.041645 0.064027 11.707321 0.099245 0.128920 -2.531157 0.099339 0.128828 14.125 14.375 277
14.5 11.625405 0.053388 0.062752 -2.840443 0.053389 0.062749 11.799007 0.092452 0.127419 -2.666838 0.092452 0.127421 14.375 14.625 86
14.75 11.743380 0.073958 0.078090 -2.976904 0.073958 0.078089 11.935951 0.110912 0.147427 -2.784333 0.110913 0.147425 14.625 14.875 33
15 11.874845 0.061480 0.103561 -3.096081 0.061478 0.103561 12.069272 0.112829 0.153584 -2.901654 0.112829 0.153583 14.875 15.125 3
15.25 12.067718 0.110396 0.070989 -3.176414 0.110396 0.070989 12.393339 0.147361 0.138650 -2.850793 0.147361 0.138650 15.125 15.375 1
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
