#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.684139 0.483371 0.447793 -7.077516 0.483371 0.447792 1.911570 0.485957 0.462584 -6.850088 0.485960 0.462581 8.625 8.875 43401
9 2.220240 0.432667 0.439035 -6.793473 0.432666 0.439036 2.447404 0.400213 0.436805 -6.566310 0.400212 0.436805 8.875 9.125 78231
9.25 2.970718 0.387675 0.384507 -6.300926 0.387675 0.384511 3.197961 0.374236 0.396029 -6.073681 0.374233 0.396032 9.125 9.375 366001
9.5 4.036299 0.321694 0.305129 -5.493367 0.321694 0.305130 4.263716 0.306119 0.314983 -5.265948 0.306119 0.314981 9.375 9.625 1.45514e+06
9.75 5.157461 0.263072 0.214811 -4.597647 0.263073 0.214811 5.384699 0.246586 0.245896 -4.370408 0.246584 0.245896 9.625 9.875 3.55505e+06
10 6.032393 0.194484 0.154675 -3.961216 0.194482 0.154673 6.259523 0.182985 0.177293 -3.734089 0.182988 0.177289 9.875 10.125 4.09858e+06
10.25 6.636226 0.142791 0.114891 -3.604974 0.142840 0.114948 6.863316 0.156831 0.138510 -3.377883 0.156751 0.138474 10.125 10.375 2.81718e+06
10.5 7.128147 0.099483 0.082779 -3.363625 0.099434 0.082759 7.355155 0.125887 0.115126 -3.136620 0.125917 0.115231 10.375 10.625 1.7551e+06
10.75 7.617130 0.066498 0.063115 -3.123233 0.066538 0.062809 7.844296 0.111569 0.119885 -2.896066 0.111613 0.119791 10.625 10.875 1.08703e+06
11 8.105186 0.026306 0.040884 -2.883513 0.026327 0.040894 8.331893 0.095917 0.125465 -2.656805 0.095853 0.125512 10.875 11.125 634868
11.25 8.605186 0.020392 0.032669 -2.633147 0.020348 0.032725 8.831851 0.098907 0.117100 -2.406480 0.098866 0.117169 11.125 11.375 358797
11.5 9.146873 0.027102 0.028369 -2.341244 0.027091 0.028368 9.373867 0.102222 0.114088 -2.114253 0.102207 0.114074 11.375 11.625 203614
11.75 9.745031 0.022316 0.029456 -1.992795 0.022251 0.029518 9.972139 0.090680 0.109243 -1.765689 0.090624 0.109267 11.625 11.875 114068
12 10.254902 0.021221 0.022074 -1.733087 0.021225 0.022080 10.482348 0.093143 0.103209 -1.505641 0.093104 0.103300 11.875 12.125 63721
12.25 10.537349 0.027169 0.014595 -1.699853 0.027111 0.014576 10.765775 0.100254 0.098311 -1.471429 0.100295 0.098336 12.125 12.375 34490
12.5 10.636048 0.057531 0.028347 -1.850569 0.057533 0.028346 10.862496 0.125059 0.104758 -1.624120 0.125050 0.104757 12.375 12.625 18588
12.75 10.699231 0.089316 0.034822 -2.036545 0.089323 0.034830 10.927161 0.145432 0.099685 -1.808612 0.145420 0.099687 12.625 12.875 9599
13 10.777143 0.097542 0.029804 -2.208503 0.097386 0.029817 11.005436 0.150963 0.096897 -1.980212 0.150967 0.096835 12.875 13.125 4769
13.25 10.882088 0.091112 0.039984 -2.351795 0.090983 0.040008 11.108632 0.145675 0.104222 -2.125248 0.145649 0.104351 13.125 13.375 2224
13.5 10.989543 0.093600 0.037774 -2.492307 0.093599 0.037730 11.217800 0.151409 0.109252 -2.264048 0.151410 0.109254 13.375 13.625 952
13.75 11.105593 0.080680 0.051724 -2.622380 0.080677 0.051729 11.325700 0.134892 0.124174 -2.402273 0.134990 0.124177 13.625 13.875 381
14 11.221996 0.077078 0.049789 -2.749051 0.077078 0.049788 11.464281 0.123685 0.110235 -2.506768 0.123689 0.110236 13.875 14.125 129
14.25 11.327149 0.060359 0.092064 -2.891923 0.060359 0.092064 11.569057 0.104462 0.152329 -2.650016 0.104462 0.152330 14.125 14.375 24
14.5 11.223726 0.161654 0.058233 -3.247111 0.161654 0.058233 11.395156 0.190723 0.086777 -3.075682 0.190724 0.086776 14.375 14.625 2
14.75 11.199377 0.484654 0.000000 -3.536081 0.484654 0.000000 11.378850 0.457978 0.007528 -3.356608 0.457978 0.007529 14.625 14.875 1
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
