#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.650361 0.502521 0.451471 -7.111887 0.502522 0.451469 1.874526 0.491368 0.479318 -6.887721 0.491367 0.479319 8.625 8.875 38342
9 2.185989 0.447479 0.441091 -6.828021 0.447483 0.441088 2.409582 0.410123 0.449108 -6.604423 0.410121 0.449107 8.875 9.125 68543
9.25 2.938970 0.389684 0.380139 -6.333095 0.389685 0.380139 3.162837 0.376819 0.393302 -6.109227 0.376821 0.393301 9.125 9.375 327857
9.5 4.016203 0.327255 0.321066 -5.514178 0.327253 0.321064 4.240345 0.309368 0.322713 -5.290036 0.309371 0.322711 9.375 9.625 1.33178e+06
9.75 5.156208 0.266908 0.220463 -4.599756 0.266907 0.220464 5.380160 0.250741 0.252348 -4.375804 0.250737 0.252346 9.625 9.875 3.38914e+06
10 6.045496 0.197605 0.158882 -3.948440 0.197613 0.158881 6.269300 0.185314 0.183667 -3.724635 0.185316 0.183661 9.875 10.125 4.04656e+06
10.25 6.651100 0.147200 0.115450 -3.590154 0.147182 0.115451 6.874963 0.151646 0.147786 -3.366295 0.151677 0.147782 10.125 10.375 2.80141e+06
10.5 7.141831 0.103509 0.084121 -3.349870 0.103583 0.084241 7.365626 0.122074 0.122313 -3.126077 0.122186 0.122217 10.375 10.625 1.74641e+06
10.75 7.634080 0.063210 0.065166 -3.106475 0.063177 0.065172 7.857900 0.116210 0.122051 -2.882653 0.116262 0.121964 10.625 10.875 1.08315e+06
11 8.123998 0.027153 0.040798 -2.864902 0.027160 0.040791 8.347924 0.096892 0.125138 -2.640969 0.096850 0.125205 10.875 11.125 638180
11.25 8.629293 0.022488 0.033663 -2.609189 0.022491 0.033610 8.853183 0.104619 0.116346 -2.385301 0.104604 0.116316 11.125 11.375 363081
11.5 9.185607 0.026895 0.029711 -2.302801 0.026882 0.029729 9.409686 0.106433 0.113899 -2.078722 0.106439 0.113888 11.375 11.625 206648
11.75 9.790980 0.020072 0.027320 -1.946912 0.020038 0.027338 10.014514 0.090431 0.111155 -1.723379 0.090386 0.111245 11.625 11.875 116850
12 10.287283 0.019482 0.022692 -1.700811 0.019401 0.022691 10.511136 0.095022 0.106219 -1.476964 0.095029 0.106250 11.875 12.125 65530
12.25 10.548775 0.024500 0.014517 -1.688515 0.024448 0.014552 10.772814 0.102068 0.097573 -1.464480 0.102051 0.097564 12.125 12.375 36110
12.5 10.639459 0.057704 0.027505 -1.847678 0.057684 0.027558 10.862907 0.128475 0.099811 -1.624226 0.128446 0.099808 12.375 12.625 19700
12.75 10.700967 0.084792 0.031408 -2.036159 0.084823 0.031409 10.924692 0.144548 0.099601 -1.812436 0.144559 0.099569 12.625 12.875 10180
13 10.782672 0.092231 0.026702 -2.203557 0.092248 0.026667 11.008412 0.146449 0.095717 -1.977815 0.146466 0.095720 12.875 13.125 5210
13.25 10.885345 0.083047 0.035983 -2.347544 0.083021 0.036195 11.107363 0.140250 0.107677 -2.125524 0.140224 0.107686 13.125 13.375 2491
13.5 10.996653 0.084440 0.030074 -2.486905 0.084446 0.030061 11.221827 0.146447 0.102536 -2.261727 0.146449 0.102538 13.375 13.625 1132
13.75 11.093902 0.076082 0.045904 -2.634633 0.076081 0.045905 11.327778 0.134583 0.114523 -2.400757 0.134583 0.114388 13.625 13.875 443
14 11.233262 0.062479 0.051814 -2.742011 0.062481 0.051811 11.461854 0.118446 0.116211 -2.513415 0.118443 0.116213 13.875 14.125 173
14.25 11.386633 0.062336 0.090317 -2.810704 0.062336 0.090316 11.581944 0.107646 0.137329 -2.615392 0.107645 0.137328 14.125 14.375 32
14.5 11.320093 0.143333 0.071874 -3.075686 0.143332 0.071874 11.528829 0.161260 0.139777 -2.866952 0.161260 0.139776 14.375 14.625 5
14.75 11.507904 0.216612 0.174402 -3.253977 0.216613 0.174401 11.680092 0.227072 0.184925 -3.081788 0.227072 0.184925 14.625 14.875 2
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
