#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.598501 0.517527 0.433232 -7.163249 0.517528 0.433230 1.813998 0.514013 0.468973 -6.947752 0.514014 0.468973 8.625 8.875 30699
9 2.148526 0.441726 0.404410 -6.865038 0.441723 0.404410 2.364251 0.418604 0.437441 -6.649314 0.418605 0.437442 8.875 9.125 55038
9.25 2.914138 0.389943 0.364177 -6.358122 0.389944 0.364178 3.130223 0.375642 0.391751 -6.142038 0.375644 0.391751 9.125 9.375 265168
9.5 3.997560 0.337381 0.308915 -5.533364 0.337379 0.308920 4.213711 0.313010 0.331082 -5.317214 0.313008 0.331087 9.375 9.625 1.09054e+06
9.75 5.171217 0.265848 0.240190 -4.586830 0.265847 0.240191 5.387435 0.252175 0.257800 -4.370611 0.252173 0.257800 9.625 9.875 3.01882e+06
10 6.084099 0.192261 0.158840 -3.910599 0.192268 0.158835 6.300323 0.188322 0.183469 -3.694375 0.188324 0.183466 9.875 10.125 3.90072e+06
10.25 6.692353 0.135820 0.113912 -3.549100 0.135791 0.113946 6.908510 0.143522 0.147199 -3.332946 0.143537 0.147182 10.125 10.375 2.74307e+06
10.5 7.182351 0.095131 0.078575 -3.309269 0.095274 0.078240 7.398312 0.113600 0.134157 -3.093309 0.113689 0.134068 10.375 10.625 1.71502e+06
10.75 7.679828 0.050299 0.056509 -3.060930 0.050237 0.056513 7.896072 0.112516 0.123795 -2.844682 0.113001 0.123695 10.625 10.875 1.0648e+06
11 8.174691 0.022686 0.039264 -2.814298 0.022688 0.039220 8.390859 0.098618 0.124660 -2.598132 0.098577 0.124674 10.875 11.125 640014
11.25 8.696177 0.023362 0.033945 -2.542643 0.023301 0.033945 8.912391 0.116973 0.119182 -2.326429 0.116976 0.119180 11.125 11.375 367930
11.5 9.277014 0.025276 0.031054 -2.211484 0.025269 0.031068 9.493629 0.098545 0.113004 -1.994875 0.098525 0.113008 11.375 11.625 211450
11.75 9.878256 0.015695 0.026248 -1.859784 0.015688 0.026274 10.094702 0.090655 0.113111 -1.643342 0.090614 0.113106 11.625 11.875 121419
12 10.337055 0.013109 0.020991 -1.651522 0.013091 0.020975 10.553345 0.090230 0.112760 -1.435232 0.090206 0.112851 11.875 12.125 68864
12.25 10.562998 0.022834 0.014170 -1.674697 0.022798 0.014105 10.780067 0.105983 0.094514 -1.457625 0.105954 0.094536 12.125 12.375 38744
12.5 10.647041 0.058297 0.025835 -1.840453 0.058301 0.025795 10.863660 0.133289 0.103421 -1.623833 0.133301 0.103418 12.375 12.625 21415
12.75 10.707831 0.082142 0.025420 -2.029567 0.081999 0.025436 10.924939 0.144277 0.096216 -1.812459 0.144129 0.096341 12.625 12.875 11620
13 10.796283 0.076742 0.024294 -2.190870 0.076655 0.024309 11.015705 0.147382 0.103787 -1.971454 0.147395 0.103764 12.875 13.125 6050
13.25 10.910640 0.072528 0.028894 -2.323869 0.072596 0.028918 11.125416 0.134181 0.100229 -2.109103 0.134166 0.100173 13.125 13.375 3046
13.5 11.014962 0.072017 0.026923 -2.468211 0.072061 0.026920 11.228271 0.136060 0.102630 -2.254901 0.136100 0.102624 13.375 13.625 1465
13.75 11.126933 0.057900 0.033486 -2.607403 0.057897 0.033486 11.346446 0.115627 0.108447 -2.387891 0.115626 0.108446 13.625 13.875 648
14 11.253021 0.045981 0.058697 -2.728440 0.045985 0.059078 11.481655 0.102410 0.118426 -2.499805 0.102412 0.118426 13.875 14.125 251
14.25 11.386511 0.064642 0.061960 -2.823195 0.064643 0.061958 11.597859 0.106988 0.123341 -2.611845 0.106987 0.123337 14.125 14.375 80
14.5 11.445905 0.071869 0.139671 -3.027370 0.071868 0.139669 11.700091 0.101860 0.171264 -2.773183 0.101859 0.171264 14.375 14.625 12
14.75 11.566073 0.225631 0.021312 -3.194710 0.225631 0.021312 11.700248 0.249261 0.058354 -3.060536 0.249261 0.058354 14.625 14.875 2
15 11.699997 0.194779 -0.009292 -3.177696 0.194780 -0.009292 11.928969 0.225835 0.038342 -2.948723 0.225835 0.038342 14.875 15.125 1
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
