#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.561761 0.525227 0.415743 -7.199995 0.525226 0.415743 1.772912 0.509887 0.434196 -6.988845 0.509889 0.434198 8.625 8.875 28905
9 2.137899 0.465283 0.391618 -6.876342 0.465282 0.391619 2.348783 0.425623 0.407667 -6.665460 0.425623 0.407669 8.875 9.125 52014
9.25 2.910144 0.402349 0.341215 -6.361603 0.402350 0.341216 3.121450 0.417832 0.374547 -6.150296 0.417831 0.374549 9.125 9.375 247903
9.5 3.992803 0.337077 0.301216 -5.537637 0.337076 0.301218 4.203874 0.317592 0.328838 -5.326568 0.317593 0.328839 9.375 9.625 982997
9.75 5.188897 0.263131 0.236873 -4.570435 0.263133 0.236871 5.400019 0.250469 0.257154 -4.359313 0.250470 0.257153 9.625 9.875 2.79078e+06
10 6.114399 0.182394 0.161980 -3.880817 0.182394 0.161979 6.325386 0.178703 0.193583 -3.669831 0.178702 0.193581 9.875 10.125 3.79165e+06
10.25 6.721919 0.131181 0.110363 -3.519646 0.131208 0.110353 6.933004 0.139876 0.149973 -3.308559 0.139899 0.149955 10.125 10.375 2.69975e+06
10.5 7.212871 0.085439 0.077480 -3.278754 0.085473 0.077410 7.424084 0.120040 0.134442 -3.067539 0.120182 0.134362 10.375 10.625 1.69133e+06
10.75 7.712539 0.039860 0.051542 -3.028305 0.039899 0.051525 7.923702 0.108730 0.128985 -2.817142 0.108731 0.128789 10.625 10.875 1.05032e+06
11 8.211585 0.023214 0.038760 -2.777646 0.023176 0.038811 8.422759 0.106148 0.123956 -2.566473 0.106108 0.123965 10.875 11.125 637146
11.25 8.741739 0.026045 0.033618 -2.497201 0.025942 0.033580 8.952870 0.115005 0.118896 -2.286072 0.115007 0.118874 11.125 11.375 368073
11.5 9.332170 0.024971 0.029293 -2.156313 0.024904 0.029289 9.543315 0.093145 0.111762 -1.945168 0.093145 0.111786 11.375 11.625 213243
11.75 9.919716 0.015214 0.024396 -1.818682 0.015219 0.024471 10.131005 0.091744 0.114820 -1.607393 0.091742 0.114813 11.625 11.875 123062
12 10.351937 0.010156 0.019665 -1.636561 0.010150 0.019663 10.563277 0.087869 0.112659 -1.425219 0.087837 0.112657 11.875 12.125 70323
12.25 10.568777 0.021527 0.013706 -1.669248 0.021524 0.013709 10.779879 0.106878 0.093967 -1.458144 0.106920 0.094051 12.125 12.375 39979
12.5 10.654036 0.058565 0.023704 -1.833759 0.058533 0.023704 10.864982 0.133926 0.099936 -1.622809 0.133920 0.099902 12.375 12.625 22271
12.75 10.721294 0.080708 0.024228 -2.016262 0.080699 0.024256 10.930645 0.141795 0.096306 -1.806913 0.141804 0.096297 12.625 12.875 12226
13 10.811155 0.073142 0.021660 -2.175033 0.073122 0.021652 11.023284 0.143092 0.103448 -1.962907 0.143095 0.103588 12.875 13.125 6558
13.25 10.924127 0.069391 0.024381 -2.311994 0.069328 0.024180 11.136659 0.130312 0.103886 -2.099458 0.130310 0.103836 13.125 13.375 3374
13.5 11.032813 0.063856 0.026060 -2.454379 0.063875 0.026296 11.243893 0.131647 0.103026 -2.243300 0.131661 0.103027 13.375 13.625 1637
13.75 11.147883 0.055195 0.030883 -2.589493 0.055195 0.030737 11.357749 0.109268 0.105135 -2.379628 0.109254 0.105308 13.625 13.875 767
14 11.291546 0.051263 0.053123 -2.684850 0.051260 0.053121 11.499143 0.106788 0.112536 -2.477253 0.106789 0.112536 13.875 14.125 307
14.25 11.388289 0.060832 0.061169 -2.831041 0.060833 0.061171 11.598615 0.110864 0.117002 -2.620717 0.110860 0.117005 14.125 14.375 110
14.5 11.511779 0.057839 0.105543 -2.965432 0.057841 0.105542 11.746582 0.099284 0.153887 -2.730628 0.099286 0.153885 14.375 14.625 23
14.75 11.443320 0.147532 0.061134 -3.245211 0.147532 0.061134 11.705048 0.167484 0.107109 -2.983483 0.167483 0.107110 14.625 14.875 3
15 11.669277 0.157852 0.010334 -3.219884 0.157852 0.010334 11.941273 0.194890 0.052519 -2.947887 0.194889 0.052519 14.875 15.125 2
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
