#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 3.187356 0.356011 0.239335 -5.573615 0.356009 0.239334 3.455844 0.303372 0.221636 -5.305128 0.303374 0.221634 8.625 8.875 315543
9 3.777047 0.320597 0.206534 -5.232354 0.320599 0.206534 4.044190 0.264420 0.205887 -4.965210 0.264421 0.205887 8.875 9.125 477643
9.25 4.306014 0.294844 0.193733 -4.950640 0.294841 0.193738 4.574260 0.230618 0.192553 -4.682397 0.230618 0.192551 9.125 9.375 1.25682e+06
9.5 5.006827 0.259250 0.183480 -4.506336 0.259248 0.183487 5.274717 0.192468 0.178273 -4.238448 0.192468 0.178272 9.375 9.625 2.33341e+06
9.75 5.805472 0.214366 0.149733 -3.933895 0.214369 0.149734 6.073655 0.172307 0.143939 -3.665713 0.172310 0.143940 9.625 9.875 2.34142e+06
10 6.438962 0.173183 0.133177 -3.545936 0.173180 0.133177 6.707443 0.152069 0.136804 -3.277454 0.152087 0.136810 9.875 10.125 1.49959e+06
10.25 6.939658 0.145209 0.116677 -3.296749 0.145216 0.116675 7.208221 0.125310 0.116933 -3.028187 0.125315 0.116933 10.125 10.375 784869
10.5 7.399507 0.115489 0.098702 -3.085421 0.115492 0.098718 7.667967 0.117314 0.111784 -2.816960 0.117280 0.111778 10.375 10.625 362590
10.75 7.875185 0.089821 0.087412 -2.858325 0.089820 0.087407 8.144354 0.113323 0.117342 -2.589157 0.113315 0.117338 10.625 10.875 160223
11 8.349386 0.068366 0.079462 -2.631845 0.068350 0.079472 8.619403 0.117644 0.132084 -2.361829 0.117638 0.132092 10.875 11.125 66159
11.25 8.824350 0.059156 0.082929 -2.405354 0.059138 0.082923 9.091311 0.116002 0.149896 -2.138393 0.115999 0.149897 11.125 11.375 25306
11.5 9.290593 0.052177 0.095325 -2.186330 0.052157 0.095326 9.560133 0.125540 0.168062 -1.916791 0.125539 0.168065 11.375 11.625 8632
11.75 9.748574 0.054127 0.126578 -1.975096 0.054127 0.126579 10.021439 0.123370 0.186229 -1.702227 0.123366 0.186230 11.625 11.875 2565
12 10.173748 0.063065 0.163164 -1.800644 0.063061 0.163212 10.456845 0.107409 0.212334 -1.517546 0.107409 0.212552 11.875 12.125 699
12.25 10.512881 0.092234 0.215796 -1.707232 0.092235 0.215788 10.808884 0.141840 0.243182 -1.411226 0.141844 0.243180 12.125 12.375 126
12.5 10.950225 0.156460 0.322871 -1.503757 0.156460 0.322870 11.135736 0.185272 0.324641 -1.318243 0.185270 0.324642 12.375 12.625 27
12.75 10.661103 0.352147 0.503632 -2.020298 0.352146 0.503632 10.833364 0.337158 0.502924 -1.848039 0.337158 0.502923 12.625 12.875 5
13 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 12.875 13.125 0
13.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.125 13.375 0
13.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.375 13.625 0
13.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.625 13.875 0
14 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 13.875 14.125 0
14.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.125 14.375 0
14.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.375 14.625 0
14.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.625 14.875 0
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
