#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.625601 0.658312 0.517422 -7.129508 0.658312 0.517421 1.790987 0.600652 0.574912 -6.964121 0.600650 0.574915 8.625 8.875 54426
9 2.211779 0.573302 0.504158 -6.799898 0.573299 0.504159 2.376579 0.549443 0.494941 -6.635099 0.549445 0.494941 8.875 9.125 75460
9.25 2.973037 0.487776 0.413228 -6.292382 0.487775 0.413229 3.138003 0.460982 0.427013 -6.127416 0.460979 0.427013 9.125 9.375 282058
9.5 4.060866 0.404105 0.276040 -5.462585 0.404101 0.276043 4.225686 0.362546 0.285470 -5.297772 0.362547 0.285471 9.375 9.625 785591
9.75 5.336720 0.238430 0.136512 -4.423620 0.238430 0.136508 5.501417 0.227759 0.160600 -4.258924 0.227763 0.160599 9.625 9.875 1.95354e+06
10 6.360898 0.151231 0.082560 -3.637254 0.151227 0.082566 6.525665 0.164707 0.127325 -3.472489 0.164706 0.127323 9.875 10.125 3.04832e+06
10.25 6.967413 0.101867 0.056038 -3.274834 0.101876 0.056033 7.132173 0.128854 0.106395 -3.110070 0.128849 0.106390 10.125 10.375 2.35393e+06
10.5 7.467352 0.062215 0.036073 -3.024621 0.062208 0.036079 7.632228 0.119124 0.098516 -2.859742 0.119182 0.098510 10.375 10.625 1.50744e+06
10.75 7.958637 0.047251 0.014718 -2.782258 0.047243 0.014827 8.123609 0.116413 0.094452 -2.617290 0.116236 0.094241 10.625 10.875 938332
11 8.461542 0.041904 0.005557 -2.528746 0.042001 0.005502 8.626565 0.116911 0.097210 -2.363721 0.116810 0.097231 10.875 11.125 580566
11.25 8.971610 0.039754 0.000354 -2.267808 0.039751 0.000316 9.136551 0.113142 0.089685 -2.102865 0.113178 0.089679 11.125 11.375 350242
11.5 9.484820 0.035816 0.003584 -2.004156 0.035816 0.003660 9.649955 0.108401 0.090383 -1.839022 0.108404 0.090395 11.375 11.625 208366
11.75 9.949673 0.028915 0.011424 -1.789602 0.028859 0.011413 10.114689 0.102007 0.096369 -1.624588 0.101981 0.096434 11.625 11.875 123530
12 10.317683 0.020981 0.015997 -1.671223 0.020972 0.015943 10.483159 0.097767 0.102235 -1.505750 0.097767 0.102180 11.875 12.125 72529
12.25 10.563009 0.025113 0.011588 -1.676636 0.025045 0.011592 10.727728 0.098500 0.095350 -1.511920 0.098470 0.095348 12.125 12.375 42353
12.5 10.703981 0.039841 0.012705 -1.784293 0.039843 0.012703 10.869463 0.122988 0.093084 -1.618816 0.122991 0.093165 12.375 12.625 24821
12.75 10.804171 0.053174 0.019429 -1.933415 0.053155 0.019413 10.969907 0.126060 0.088753 -1.767674 0.126064 0.088676 12.625 12.875 14470
13 10.922465 0.053744 0.019931 -2.065983 0.053663 0.019922 11.087890 0.132320 0.096505 -1.900559 0.132303 0.096437 12.875 13.125 8165
13.25 11.046088 0.042386 0.024348 -2.192069 0.042581 0.024382 11.211400 0.120518 0.093627 -2.026757 0.120649 0.093629 13.125 13.375 4590
13.5 11.179048 0.034012 0.031074 -2.309414 0.033873 0.031113 11.343620 0.111987 0.098397 -2.144835 0.111944 0.098485 13.375 13.625 2499
13.75 11.314557 0.034806 0.033882 -2.421140 0.034605 0.034243 11.474397 0.112226 0.106300 -2.261303 0.112238 0.106367 13.625 13.875 1348
14 11.444702 0.035861 0.044520 -2.541857 0.035807 0.044574 11.609433 0.110659 0.116362 -2.377127 0.110606 0.116458 13.875 14.125 675
14.25 11.549727 0.042566 0.064400 -2.684877 0.042571 0.064572 11.711556 0.099977 0.133348 -2.523048 0.099976 0.133345 14.125 14.375 324
14.5 11.706784 0.044106 0.065754 -2.772199 0.044109 0.065752 11.865262 0.092800 0.128826 -2.613723 0.092802 0.129422 14.375 14.625 136
14.75 11.853799 0.064035 0.098423 -2.880844 0.064037 0.098424 12.019464 0.098779 0.175297 -2.715179 0.098777 0.175294 14.625 14.875 51
15 11.722736 0.071067 0.091420 -3.193019 0.071066 0.091422 11.855449 0.099343 0.157883 -3.060308 0.099344 0.157883 14.875 15.125 6
15.25 12.161327 0.116909 0.075785 -3.069119 0.116909 0.075785 12.370749 0.165795 0.127252 -2.859697 0.165796 0.127251 15.125 15.375 2
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
