#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.584588 0.615695 0.477375 -7.173205 0.615697 0.477373 1.754215 0.603015 0.510880 -7.003578 0.603015 0.510879 8.625 8.875 41552
9 2.161972 0.522163 0.458760 -6.850774 0.522164 0.458761 2.332193 0.490837 0.492259 -6.680551 0.490835 0.492259 8.875 9.125 63313
9.25 2.944350 0.462169 0.373838 -6.322856 0.462172 0.373838 3.114019 0.432363 0.395855 -6.153187 0.432365 0.395856 9.125 9.375 256716
9.5 4.042649 0.371308 0.247242 -5.482198 0.371305 0.247245 4.212207 0.336083 0.257491 -5.312642 0.336086 0.257492 9.375 9.625 770854
9.75 5.316349 0.229467 0.145491 -4.444169 0.229470 0.145492 5.485908 0.219622 0.174344 -4.274611 0.219621 0.174345 9.625 9.875 1.9766e+06
10 6.337531 0.146065 0.089536 -3.660490 0.146064 0.089534 6.507071 0.168830 0.129393 -3.490948 0.168827 0.129392 9.875 10.125 3.09051e+06
10.25 6.944623 0.102120 0.056602 -3.297621 0.102114 0.056599 7.114206 0.130864 0.104468 -3.128040 0.130876 0.104458 10.125 10.375 2.37816e+06
10.5 7.444774 0.060331 0.037573 -3.047165 0.060345 0.037457 7.614329 0.124307 0.098688 -2.877609 0.124281 0.098641 10.375 10.625 1.5215e+06
10.75 7.938097 0.041533 0.017898 -2.802811 0.041736 0.017966 8.107906 0.113455 0.100511 -2.633002 0.113456 0.100292 10.625 10.875 946916
11 8.443491 0.038632 0.009013 -2.546713 0.038676 0.009115 8.613294 0.109155 0.096020 -2.376910 0.109073 0.096028 10.875 11.125 586372
11.25 8.959070 0.039309 0.000342 -2.280247 0.039313 0.000357 9.128850 0.110659 0.091833 -2.110464 0.110656 0.091845 11.125 11.375 352565
11.5 9.481295 0.034331 0.004153 -2.007672 0.034335 0.004147 9.651108 0.106097 0.092972 -1.837853 0.106102 0.092978 11.375 11.625 209359
11.75 9.952945 0.028247 0.011220 -1.786366 0.028224 0.011233 10.122623 0.101994 0.096498 -1.616688 0.101996 0.096575 11.625 11.875 123898
12 10.323190 0.019204 0.015177 -1.665811 0.019201 0.015172 10.492522 0.098077 0.102187 -1.496476 0.098118 0.102167 11.875 12.125 72643
12.25 10.564342 0.024998 0.011075 -1.675434 0.024957 0.011082 10.734041 0.099134 0.094559 -1.505736 0.099117 0.094577 12.125 12.375 42284
12.5 10.700628 0.039966 0.013535 -1.787391 0.039967 0.013538 10.871350 0.123792 0.090433 -1.616673 0.123792 0.090393 12.375 12.625 24718
12.75 10.796209 0.060042 0.019488 -1.941494 0.059973 0.019482 10.965206 0.126494 0.088326 -1.772500 0.126513 0.088325 12.625 12.875 14413
13 10.913165 0.058290 0.021831 -2.074963 0.058202 0.021933 11.083691 0.131120 0.096631 -1.904436 0.131093 0.096576 12.875 13.125 8069
13.25 11.033336 0.047130 0.022389 -2.204877 0.047033 0.022402 11.205111 0.126932 0.094558 -2.033106 0.126964 0.094572 13.125 13.375 4570
13.5 11.168393 0.036866 0.026269 -2.320434 0.036956 0.026561 11.339094 0.113390 0.100297 -2.149735 0.113394 0.100345 13.375 13.625 2443
13.75 11.298288 0.034313 0.034822 -2.438390 0.034309 0.035168 11.469633 0.110343 0.108748 -2.267048 0.110346 0.108686 13.625 13.875 1309
14 11.432730 0.035116 0.046214 -2.551901 0.035045 0.046257 11.603606 0.108061 0.115430 -2.381030 0.107998 0.115493 13.875 14.125 639
14.25 11.534963 0.041735 0.061262 -2.698714 0.041836 0.061595 11.707220 0.100934 0.127757 -2.526457 0.101034 0.128047 14.125 14.375 317
14.5 11.683873 0.047174 0.066463 -2.791449 0.047173 0.067073 11.853281 0.088398 0.132121 -2.622044 0.088399 0.132123 14.375 14.625 128
14.75 11.829828 0.067350 0.093248 -2.905106 0.067349 0.093249 12.009183 0.100090 0.171311 -2.725752 0.100091 0.171310 14.625 14.875 42
15 11.628612 0.069649 0.090818 -3.278109 0.069649 0.090817 11.849373 0.100486 0.152719 -3.057346 0.100485 0.152720 14.875 15.125 6
15.25 12.232298 0.119802 0.073826 -2.975631 0.119802 0.073826 12.360113 0.164747 0.120789 -2.847816 0.164749 0.120787 15.125 15.375 2
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
