#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 2.025726 0.677602 0.538902 -6.738103 0.677604 0.538899 2.185566 0.646097 0.574720 -6.578262 0.646098 0.574720 8.625 8.875 37778
9 2.485296 0.626952 0.525202 -6.527726 0.626951 0.525203 2.645455 0.569669 0.525285 -6.367569 0.569671 0.525284 8.875 9.125 61681
9.25 3.147923 0.521207 0.457207 -6.119278 0.521205 0.457211 3.307960 0.498664 0.432939 -5.959243 0.498661 0.432939 9.125 9.375 254091
9.5 4.139644 0.415099 0.283462 -5.385005 0.415097 0.283461 4.299589 0.387430 0.311433 -5.225061 0.387430 0.311432 9.375 9.625 758659
9.75 5.360518 0.267322 0.159016 -4.399808 0.267315 0.159019 5.520427 0.242459 0.173353 -4.239901 0.242456 0.173353 9.625 9.875 1.92647e+06
10 6.383366 0.155578 0.085647 -3.614890 0.155575 0.085647 6.543320 0.183520 0.132332 -3.454936 0.183522 0.132331 9.875 10.125 3.00623e+06
10.25 6.989135 0.098176 0.056499 -3.253050 0.098194 0.056487 7.149141 0.133656 0.109107 -3.093047 0.133657 0.109085 10.125 10.375 2.32566e+06
10.5 7.489036 0.063752 0.028438 -3.002935 0.063766 0.028327 7.649211 0.119817 0.101028 -2.842762 0.119921 0.100919 10.375 10.625 1.48891e+06
10.75 7.978297 0.044549 0.022300 -2.762588 0.044758 0.021991 8.138501 0.121406 0.093214 -2.602386 0.121818 0.093004 10.625 10.875 926363
11 8.478528 0.039516 0.013423 -2.511802 0.039687 0.013381 8.638611 0.117691 0.099044 -2.351718 0.117884 0.098873 10.875 11.125 573527
11.25 8.982383 0.039412 0.005900 -2.257069 0.039390 0.005914 9.142753 0.117203 0.091480 -2.096698 0.117204 0.091473 11.125 11.375 346857
11.5 9.488500 0.038182 0.007843 -2.000460 0.038123 0.007843 9.648609 0.106668 0.092668 -1.840352 0.106598 0.092738 11.375 11.625 206749
11.75 9.947063 0.029360 0.014897 -1.792200 0.029340 0.014974 10.107515 0.099539 0.098394 -1.631749 0.099491 0.098468 11.625 11.875 122573
12 10.314059 0.022288 0.018462 -1.674825 0.022263 0.018543 10.474689 0.095874 0.101808 -1.514198 0.095857 0.101827 11.875 12.125 72088
12.25 10.562425 0.024817 0.014247 -1.677169 0.024817 0.014255 10.722821 0.098103 0.096221 -1.516777 0.098096 0.096240 12.125 12.375 42073
12.5 10.708627 0.039223 0.012527 -1.779758 0.039214 0.012612 10.869308 0.121835 0.093102 -1.619079 0.121826 0.093140 12.375 12.625 24710
12.75 10.815907 0.051636 0.019141 -1.921718 0.051509 0.019254 10.975622 0.125615 0.087029 -1.762002 0.125495 0.087060 12.625 12.875 14388
13 10.937409 0.052475 0.019835 -2.051337 0.052430 0.019884 11.096405 0.133078 0.094927 -1.892336 0.133058 0.094983 12.875 13.125 8153
13.25 11.063660 0.041491 0.021901 -2.173914 0.041552 0.021859 11.224139 0.117309 0.090555 -2.013439 0.117368 0.090597 13.125 13.375 4564
13.5 11.199640 0.035531 0.031325 -2.286374 0.035304 0.031552 11.360002 0.114660 0.097489 -2.126010 0.114613 0.097565 13.375 13.625 2508
13.75 11.328655 0.034245 0.035918 -2.406620 0.033967 0.036349 11.490839 0.112088 0.105695 -2.244434 0.111653 0.106089 13.625 13.875 1393
14 11.464870 0.036361 0.045611 -2.519584 0.036218 0.045815 11.623927 0.112010 0.107574 -2.360527 0.111795 0.107790 13.875 14.125 686
14.25 11.573509 0.041037 0.066189 -2.659297 0.040730 0.066482 11.733217 0.094489 0.135234 -2.499586 0.094191 0.135534 14.125 14.375 353
14.5 11.730869 0.047238 0.063225 -2.747724 0.046638 0.063826 11.887960 0.099198 0.136511 -2.590634 0.098600 0.137108 14.375 14.625 135
14.75 11.863954 0.059695 0.089482 -2.868783 0.059695 0.089482 12.024331 0.100471 0.165165 -2.708405 0.100471 0.165164 14.625 14.875 61
15 11.780069 0.058937 0.079509 -3.135402 0.058939 0.079509 11.943293 0.100941 0.157905 -2.972178 0.100940 0.157905 14.875 15.125 7
15.25 12.248353 0.119760 0.076364 -2.993440 0.119761 0.076363 12.392715 0.161099 0.124535 -2.849077 0.161100 0.124534 15.125 15.375 2
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
