#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.652605 0.499129 0.447620 -7.109840 0.499132 0.447618 1.877797 0.489308 0.470922 -6.884646 0.489309 0.470923 8.625 8.875 39081
9 2.190822 0.447538 0.441242 -6.822872 0.447541 0.441239 2.415488 0.415093 0.447780 -6.598202 0.415093 0.447781 8.875 9.125 70163
9.25 2.944891 0.385412 0.381498 -6.326970 0.385412 0.381494 3.169758 0.384592 0.394295 -6.102102 0.384592 0.394295 9.125 9.375 335044
9.5 4.019480 0.325068 0.320748 -5.510726 0.325069 0.320748 4.244263 0.309036 0.320122 -5.285944 0.309037 0.320120 9.375 9.625 1.35610e+06
9.75 5.156374 0.266261 0.218055 -4.599424 0.266259 0.218055 5.380968 0.250371 0.251133 -4.374835 0.250374 0.251130 9.625 9.875 3.42054e+06
10 6.042613 0.197483 0.158255 -3.951256 0.197484 0.158255 6.267077 0.187641 0.182930 -3.726791 0.187637 0.182928 9.875 10.125 4.05756e+06
10.25 6.647970 0.145658 0.116379 -3.593263 0.145643 0.116377 6.872491 0.152682 0.145167 -3.368741 0.152713 0.145165 10.125 10.375 2.80492e+06
10.5 7.138940 0.102391 0.084512 -3.352793 0.102467 0.084631 7.363300 0.122414 0.122189 -3.128432 0.122525 0.122170 10.375 10.625 1.74852e+06
10.75 7.630573 0.063835 0.064399 -3.109942 0.063799 0.064399 7.855060 0.115415 0.121675 -2.885454 0.115460 0.121439 10.625 10.875 1.08397e+06
11 8.120021 0.027085 0.041002 -2.868833 0.027093 0.040993 8.344540 0.095824 0.125272 -2.644313 0.095832 0.125329 10.875 11.125 637775
11.25 8.624352 0.021689 0.033588 -2.614067 0.021654 0.033626 8.848721 0.102561 0.115946 -2.389702 0.102544 0.115919 11.125 11.375 362351
11.5 9.178254 0.026624 0.029352 -2.310100 0.026610 0.029357 9.402465 0.105731 0.113778 -2.085890 0.105712 0.113775 11.375 11.625 206088
11.75 9.781534 0.020468 0.027483 -1.956288 0.020451 0.027454 10.006154 0.090566 0.110376 -1.731670 0.090529 0.110449 11.625 11.875 116386
12 10.281034 0.019796 0.022912 -1.706941 0.019801 0.022957 10.505901 0.094487 0.106781 -1.482076 0.094492 0.106813 11.875 12.125 65170
12.25 10.546385 0.024706 0.014586 -1.690753 0.024695 0.014585 10.771203 0.101518 0.098718 -1.465937 0.101525 0.098726 12.125 12.375 35875
12.5 10.637552 0.058399 0.027684 -1.849302 0.058381 0.027703 10.863541 0.127704 0.100500 -1.623313 0.127682 0.100511 12.375 12.625 19462
12.75 10.700296 0.085930 0.031941 -2.036431 0.085958 0.031941 10.925155 0.145316 0.099750 -1.811568 0.145315 0.099734 12.625 12.875 10080
13 10.780850 0.093570 0.027479 -2.204907 0.093565 0.027491 11.008257 0.146616 0.095354 -1.977497 0.146588 0.095367 12.875 13.125 5129
13.25 10.880246 0.083247 0.036748 -2.352949 0.083220 0.036775 11.105801 0.140691 0.107178 -2.127396 0.140670 0.107180 13.125 13.375 2458
13.5 10.989671 0.086211 0.033543 -2.494121 0.086209 0.033546 11.219497 0.145230 0.106310 -2.264297 0.145233 0.106305 13.375 13.625 1082
13.75 11.106051 0.076974 0.048162 -2.623230 0.077114 0.048162 11.326356 0.133851 0.115273 -2.402917 0.133846 0.115143 13.625 13.875 434
14 11.245695 0.059756 0.053512 -2.729832 0.059756 0.053513 11.465715 0.115171 0.117939 -2.509813 0.115172 0.117937 13.875 14.125 162
14.25 11.317123 0.066700 0.086477 -2.883630 0.066700 0.086477 11.580335 0.109184 0.137347 -2.620420 0.109186 0.137347 14.125 14.375 30
14.5 11.138001 0.184609 0.048591 -3.256831 0.184609 0.048592 11.441342 0.193439 0.124393 -2.953491 0.193439 0.124392 14.375 14.625 4
14.75 11.175770 0.260430 0.003168 -3.566105 0.260430 0.003168 11.483826 0.283030 0.048820 -3.258049 0.283030 0.048821 14.625 14.875 2
15 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.875 15.125 0
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
