#Observed stellar masses in Msun
#Average Infall SSFRs in yr^-1.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.116373.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_SSFRs(MW) Err+ Err- +1_sigma_Infall_SSFRs(MW) Err+ Err- -1_sigma_Infall_SSFRs(MW) Err+ Err- Median_Infall_SSFRs(GR) Err+ Err- +1_sigma_Infall_SSFRs(GR) Err+ Err- -1_sigma_Infall_SSFRs(GR) Err+ Err- Median_Infall_SSFRs(CL) Err+ Err- +1_sigma_Infall_SSFRs(CL) Err+ Err- -1_sigma_Infall_SSFRs(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -7.95 0.125 0.150001 -7.37296 0.0715127 0.122958 -8.73341 0.295193 3.05168 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.2 7.4 90671 32 0 0
7.5 -8.02 0.12 0.155 -7.46623 0.114782 0.10673 -8.74159 0.302645 3.0863 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.4 7.6 66920 43 0 0
7.7 -8.075 0.15 0.1 -7.54676 0.108773 0.0932693 -8.78822 0.320672 3.03654 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.6 7.8 47024 34 0 0
7.9 -8.05 0.15 0.162499 -7.58798 0.157933 0.128605 -8.77788 0.342908 2.90553 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.8 8 31891 27 0 0
8.1 -8.05 0.15 0.125 -7.56659 0.168269 0.139742 -8.70168 0.260336 2.73966 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8 8.2 21105 28 0 0
8.3 -8.075 0.175 0.125 -7.53798 0.187261 0.102042 -8.69928 0.26274 2.44207 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.2 8.4 13600 18 0 0
8.5 -8.025 0.15 0.175 -7.42452 0.139664 0.184975 -8.57344 0.2 2.60998 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.4 8.6 8754 17 0 0
8.7 -8.025 0.141666 0.0875006 -7.44279 0.115626 0.181731 -8.54928 0.192067 0.389664 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.6 8.8 5448 19 0 0
8.9 -8.075 0.2 0.150001 -7.5595 0.217067 0.169832 -8.62464 0.219831 0.840505 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.8 9 3309 11 0 0
9.1 -8.075 0.325 0.1375 -7.53053 0.151202 0.13053 -8.59687 0.234135 0.618269 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 9 9.2 1995 17 0 0
