#Observed stellar masses in Msun
#Infall delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.099498.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_Delay_Time(MW) Err+ Err- +1_sigma_Infall_Delay_Time(MW) Err+ Err- -1_sigma_Infall_Delay_Time(MW) Err+ Err- Median_Infall_Delay_Time(GR) Err+ Err- +1_sigma_Infall_Delay_Time(GR) Err+ Err- -1_sigma_Infall_Delay_Time(GR) Err+ Err- Median_Infall_Delay_Time(CL) Err+ Err- +1_sigma_Infall_Delay_Time(CL) Err+ Err- -1_sigma_Infall_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.10684 0.20996 0.065878 0.157692 0.159108 0.0590448 0.0870813 0.229718 0.0739704 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 7.2 7.4 34622 2 0 0
7.5 0.0543829 0.262417 0.0134214 0.0986468 0.218153 0.048513 0.0360289 0.280771 0.004294 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 7.4 7.6 26384 1 0 0
7.7 0.0873947 0.229405 0.0464332 0.102746 0.214053 0.0526127 0.058611 0.258189 0.0268761 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 7.6 7.8 18808 0 0 0
7.9 0.0676772 0.249122 0.0267157 0.0766882 0.240111 0.0265544 0.058611 0.258189 0.0268761 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 7.8 8 12765 1 0 0
8.1 0.189777 0.127023 0.148815 0.195228 0.121572 0.145094 0.1843 0.1325 0.152565 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 8 8.2 8380 0 0 0
8.3 0.189777 0.127023 0.122099 0.195228 0.121572 0.11854 0.1843 0.1325 0.125689 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 8.2 8.4 5176 1 0 0
8.5 0.189777 0.127023 0.122099 0.195228 0.121572 0.11854 0.1843 0.1325 0.125689 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 8.4 8.6 3289 2 0 0
8.7 0.3168 0 0.249122 0.3168 0 0.240111 0.3168 0 0.258189 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 8.6 8.8 1968 0 0 0
8.9 0.3168 0 0.127023 0.3168 0 0.121572 0.3168 0 0.1325 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 8.8 9 1106 1 0 0
9.1 0.3168 0 0.127023 0.3168 0 0.121572 0.3168 0 0.1325 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 0.3168 0 0 9 9.2 646 0 0 0
