#Observed stellar masses in Msun
#Average Infall SSFRs in yr^-1.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.166998.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_SSFRs(MW) Err+ Err- +1_sigma_Infall_SSFRs(MW) Err+ Err- -1_sigma_Infall_SSFRs(MW) Err+ Err- Median_Infall_SSFRs(GR) Err+ Err- +1_sigma_Infall_SSFRs(GR) Err+ Err- -1_sigma_Infall_SSFRs(GR) Err+ Err- Median_Infall_SSFRs(CL) Err+ Err- +1_sigma_Infall_SSFRs(CL) Err+ Err- -1_sigma_Infall_SSFRs(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -8.47607 0.0917187 0.105997 -7.83873 0.0606189 0.065237 -9.01026 0.164234 2.28443 -8.425 0.2 0.193749 -7.56418 0.207933 0.267908 -8.93205 0.231211 0.730689 -14 0 0 -14 0 0 -14 0 0 7.2 7.4 306577 3434 15 0
7.5 -8.45136 0.0900669 0.0964823 -7.83031 0.0564737 0.059166 -8.99625 0.163514 2.14918 -8.41875 0.11875 0.14375 -7.51178 0.163824 0.294109 -8.91514 0.193669 0.61274 -14 0 0 -14 0 0 -14 0 0 7.4 7.6 230379 3495 36 0
7.7 -8.43661 0.0871696 0.111345 -7.83079 0.0548477 0.0640631 -8.98729 0.174151 2.04308 -8.4625 0.122499 0.175 -7.60385 0.245193 0.160336 -9.00721 0.21947 2.4488 -14 0 0 -14 0 0 -14 0 0 7.6 7.8 167402 3101 31 0
7.9 -8.41464 0.0818987 0.10008 -7.81262 0.0502882 0.0607543 -8.97977 0.168062 0.658248 -8.5 0.15 0.15 -7.63806 0.195272 0.263221 -9.07235 0.290143 2.73726 -14 0 0 -14 0 0 -14 0 0 7.8 8 120269 2692 29 0
8.1 -8.41378 0.0748959 0.0954895 -7.82602 0.0594616 0.0563269 -8.95825 0.143175 1.99675 -8.475 0.2875 0.2 -7.65072 0.181731 0.2 -9.14135 0.320673 2.60793 -14 0 0 -14 0 0 -14 0 0 8 8.2 84542 2348 22 0
8.3 -8.41723 0.0741768 0.0959253 -7.83686 0.0522094 0.054769 -8.96326 0.155477 0.720825 -8.225 0.125 0.2 -7.65072 0.216227 0.123798 -8.74687 0.242067 2.71034 -14 0 0 -14 0 0 -14 0 0 8.2 8.4 58998 1903 15 0
8.5 -8.38765 0.0655022 0.0827627 -7.8522 0.0557742 0.0535307 -8.93182 0.137166 0.325858 -8.25 0.175 0.2 -7.51346 0.257933 0.30553 -8.8524 0.273798 0.502403 -14 0 0 -14 0 0 -14 0 0 8.4 8.6 41161 1446 15 0
8.7 -8.36402 0.0590239 0.0829763 -7.87063 0.0526791 0.051393 -8.91097 0.122081 0.254666 -8.325 0.25 0.25 -7.62656 0.197236 0.399879 -8.99447 0.392067 2.48413 -14 0 0 -14 0 0 -14 0 0 8.6 8.8 28526 1205 5 0
8.9 -8.34514 0.0600319 0.0700788 -7.85439 0.0439701 0.0495262 -8.89527 0.127316 0.239477 -8.31667 0.216666 0.195833 -7.90553 0.615866 0.231731 -8.7024 0.207932 2.39207 -14 0 0 -14 0 0 -14 0 0 8.8 9 19457 1018 9 0
9.1 -8.34833 0.0550003 0.0516663 -7.84023 0.0387397 0.0449162 -8.84843 0.0961285 0.209834 -8.275 0.174999 0.1 -7.33966 0.257932 0.821034 -8.56274 0.136538 0.542068 -14 0 0 -14 0 0 -14 0 0 9 9.2 13090 800 5 0
9.3 -8.33152 0.0459452 0.0559778 -7.84597 0.0346522 0.035717 -8.83601 0.0959997 0.185433 -8.175 0.425 0.0999994 -7.0976 0.0262017 0.665865 -8.76827 0.434134 2.89207 -14 0 0 -14 0 0 -14 0 0 9.2 9.4 8779 550 5 0
9.5 -8.34688 0.0493755 0.0566959 -7.84923 0.0427065 0.0544949 -8.86456 0.0996275 0.158447 -8.1375 0.1375 0.1375 -7.72139 0.331731 0.242067 -8.82861 0.384135 2.85793 -14 0 0 -14 0 0 -14 0 0 9.4 9.6 5792 400 6 0
9.7 -8.325 0.0599995 0.0650005 -7.82996 0.0356307 0.0482473 -8.81442 0.102283 0.165626 -8.15 0.175 0.375 -7.68173 0.260336 0.271033 -8.8524 0.276202 2.66586 -14 0 0 -14 0 0 -14 0 0 9.6 9.8 3749 245 7 0
9.9 -8.25833 0.0645828 0.0611115 -7.75385 0.05721 0.0555296 -8.73582 0.0961533 0.128119 -8.175 0.35 0.525 -7.66587 0.160337 0.457932 -8.81034 0.242067 3.00793 -14 0 0 -14 0 0 -14 0 0 9.8 10 2271 117 5 0
10.1 -8.15 0.0583324 0.108334 -7.69351 0.0865378 0.0913444 -8.73738 0.0974779 0.105168 -8.225 0.125 0.299999 -7.7476 0.115866 0.368269 -8.7262 0.273799 3.14207 -14 0 0 -14 0 0 -14 0 0 10 10.2 1432 49 5 0
10.3 -8.125 0.125 0.1125 -7.6607 0.128243 0.10589 -8.73029 0.191344 0.115866 -8.175 0.175 0.2 -7.78966 0.257932 0.292067 -8.51827 0.184134 0.342068 -14 0 0 -14 0 0 -14 0 0 10.2 10.4 913 34 3 0
10.5 -7.875 0.125 0.175 -7.64519 0.041647 0.0841346 -8.64687 0.302403 0.502403 -8.05 0.3 0.375 -7.63173 0.5 0.55 -8.4262 0.257933 0.25 -14 0 0 -14 0 0 -14 0 0 10.4 10.6 523 12 4 0
10.7 -7.825 0.125 0.175 -7.66587 0.118269 0.15 -9.18413 1.3 2.06827 -7.95 0.3 0.175 -7.61587 0.484134 0.3 -8.31034 0.276202 0.236899 -14 0 0 -14 0 0 -14 0 0 10.6 10.8 277 4 3 0
10.9 -7.65 0.15 1.575 -7.51587 0.0500002 0.6 -8.53413 0.992067 1.09207 -7.95 0.125 6.05 -7.91587 0.242067 6.08413 -8.5262 0.599999 5.4738 -14 0 0 -14 0 0 -14 0 0 10.8 11 164 1 2 0
11.1 -8.075 0.6 5.925 -8.05793 0.6 5.94207 -8.09207 0.600001 5.90793 -14 5.475 0 -14 5.49207 0 -14 5.45793 0 -14 0 0 -14 0 0 -14 0 0 11 11.2 64 1 0 0
