#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.242935.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.349783 0.0821824 0.0562105 0.616662 0.0939135 0.0712924 0.115716 0.0552195 0.0204569 0.3425 0.116324 0.0728922 0.621858 0.148454 0.0908489 0.115327 0.0536643 0.026865 0 0 0 0 0 0 0 0 0 7.2 7.4 2280 1767 210 0
7.5 0.346649 0.0816839 0.0514325 0.632921 0.087328 0.0819129 0.120709 0.0553624 0.0242499 0.337037 0.11104 0.057037 0.638381 0.112327 0.0831371 0.108474 0.0605173 0.019558 0 0 0 0 0 0 0 0 0 7.4 7.6 2385 1878 223 0
7.7 0.346368 0.070925 0.0502359 0.636636 0.0857481 0.0812942 0.121347 0.0484456 0.0239986 0.339583 0.110417 0.0441288 0.633507 0.109762 0.0621358 0.103827 0.0750514 0.0170005 0 0 0 0 0 0 0 0 0 7.6 7.8 2331 1798 196 0
7.9 0.34181 0.0548764 0.048358 0.639527 0.0734636 0.0876651 0.125653 0.0444598 0.0255553 0.322436 0.0816457 0.0446057 0.643452 0.093703 0.100876 0.102861 0.0440996 0.0146687 0 0 0 0 0 0 0 0 0 7.8 8 2442 1725 252 0
8.1 0.33982 0.0570151 0.0458521 0.622468 0.0720719 0.0879651 0.126491 0.0509846 0.0262718 0.329808 0.0764423 0.0579327 0.645672 0.135071 0.103272 0.110017 0.0443109 0.0168471 0 0 0 0 0 0 0 0 0 8 8.2 2300 1621 230 0
8.3 0.330032 0.0577652 0.0396205 0.612466 0.0689324 0.0881568 0.125438 0.0485139 0.0255948 0.311538 0.0884615 0.0460973 0.629925 0.128449 0.091872 0.105165 0.0372486 0.015701 0 0 0 0 0 0 0 0 0 8.2 8.4 2261 1415 196 0
8.5 0.328079 0.0477276 0.039263 0.600763 0.0599715 0.0799132 0.12545 0.0425486 0.0258258 0.290385 0.0817308 0.0444387 0.621191 0.11226 0.107815 0.101539 0.0389796 0.0174989 0 0 0 0 0 0 0 0 0 8.4 8.6 2231 1373 206 0
8.7 0.328497 0.041816 0.036651 0.598563 0.0706968 0.0808827 0.128113 0.0438832 0.0229545 0.304688 0.0932292 0.0495151 0.644358 0.0876086 0.118511 0.104225 0.0445085 0.0182598 0 0 0 0 0 0 0 0 0 8.6 8.8 2110 1043 201 0
8.9 0.336822 0.0472061 0.0480536 0.606447 0.0727243 0.0901849 0.128467 0.0499466 0.0252804 0.317187 0.0619792 0.0566106 0.666101 0.0681903 0.137498 0.108443 0.0536839 0.0163304 0 0 0 0 0 0 0 0 0 8.8 9 1921 850 160 0
9.1 0.333929 0.0444296 0.0412319 0.607313 0.07728 0.0774174 0.131282 0.0414427 0.0202079 0.316667 0.0783333 0.0614035 0.624133 0.106393 0.119464 0.111555 0.0444756 0.0182946 0 0 0 0 0 0 0 0 0 9 9.2 1709 588 170 0
