#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.658060.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.63654 1.00721 1.1391 4.05217 0.646067 0.923423 1.34065 0.722153 0.783909 3.14494 1.01388 1.57533 4.35978 0.70894 0.967754 1.61624 1.12631 0.982457 3.17647 0.978529 1.53122 4.40837 0.754245 0.990621 1.67671 1.02426 1.01937 7.2 7.4 11935 1942 1963 1161
7.5 2.71092 0.801984 1.21178 4.14264 0.561418 0.975667 1.33703 0.655813 0.75165 3.21979 0.869097 1.63513 4.49214 0.58849 1.04033 1.68478 1.12692 1.05255 3.35 0.934091 1.69756 4.55345 0.654963 1.06054 1.73306 1.08843 1.07913 7.4 7.6 9550 1620 1728 1004
7.7 2.73889 0.656801 1.24187 4.21292 0.550553 1.04778 1.321 0.593423 0.814418 3.35978 0.784662 1.72655 4.61501 0.557843 1.11025 1.73577 1.1008 1.1669 3.42763 0.831743 1.80775 4.69085 0.509003 1.13969 1.7406 0.920234 1.14653 7.6 7.8 8388 1607 1535 858
7.9 2.8524 0.535566 1.3649 4.40107 0.652828 1.11687 1.29291 0.386331 0.806367 3.40061 0.660105 1.80328 4.77588 0.462245 1.12734 1.55687 1.00021 1.06838 3.5 0.711764 1.86923 4.80481 0.451332 1.14313 1.66451 0.899344 1.13834 7.8 8 7661 1557 1494 779
8.1 2.85705 0.425843 1.37382 4.52762 0.582913 1.17697 1.22026 0.430886 0.741562 3.39407 0.529543 1.77165 4.89056 0.322938 1.21724 1.45801 0.910655 0.974608 3.51875 0.588942 1.88214 4.87993 0.363908 1.19055 1.57682 0.881367 1.08443 8 8.2 7123 1458 1367 760
8.3 2.75909 0.383844 1.25016 4.5478 0.492705 1.18045 1.20779 0.282803 0.719096 3.40326 0.409239 1.81517 4.83493 0.33824 1.14665 1.41298 0.739491 0.942677 3.46719 0.546274 1.88326 4.90858 0.346268 1.26401 1.47413 0.765475 0.962604 8.2 8.4 6371 1411 1185 666
8.5 2.66094 0.375 1.16318 4.46546 0.478282 1.05071 1.18324 0.227585 0.643927 3.36307 0.389015 1.75844 4.83797 0.32707 1.07628 1.44605 0.657636 0.947012 3.47857 0.437054 1.83957 4.86517 0.337401 1.1147 1.59154 0.61183 1.08582 8.4 8.6 5939 1250 1206 647
8.7 2.46033 0.349674 0.971372 4.29728 0.365452 1.03097 1.09557 0.195055 0.487902 3.176 0.368388 1.53406 4.78956 0.297342 1.10546 1.30073 0.422805 0.814559 3.38421 0.413289 1.72686 4.84571 0.228437 1.10633 1.4278 0.62955 0.864383 8.6 8.8 5802 1312 1115 609
8.9 2.32321 0.311786 0.816483 4.15833 0.405752 0.827164 1.05615 0.135944 0.444671 3.0575 0.3325 1.38098 4.68444 0.317282 1.012 1.17964 0.408017 0.659882 3.1425 0.4575 1.455 4.76439 0.249249 0.957544 1.22405 0.494858 0.653444 8.8 9 6032 1336 1136 601
9.1 2.1891 0.302897 0.692949 4.05956 0.364048 0.825753 1.00686 0.121535 0.373403 2.775 0.344231 1.17663 4.54143 0.257097 0.905396 1.08918 0.24981 0.528311 2.975 0.4125 1.241 4.6461 0.252887 0.862097 1.05759 0.477762 0.521524 9 9.2 6420 1249 1284 629
