#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.551747.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.52917 1.07083 0.65 2.75084 0.83058 0.610906 0.720565 0.790737 0.451935 1.625 1.45 0.592201 3.11719 0.741706 0.805065 0.73062 1.13854 0.456821 2.025 1.09062 0.889362 3.16667 0.725398 0.765852 0.921207 1.16113 0.611713 7.2 7.4 28 12 8 3
7.5 1.4692 1.2258 0.594196 2.88658 0.727441 0.820249 0.71924 0.793796 0.487412 1.89611 1.30168 0.869457 3.3506 0.619646 0.942672 0.72225 1.28545 0.482586 1.85921 1.31579 0.909211 3.28654 0.675238 0.895717 0.766588 1.3315 0.521483 7.4 7.6 24 22 24 9
7.7 1.56827 1.13914 0.852158 3.05227 0.715872 0.874907 0.603126 0.89868 0.383093 1.8275 1.285 0.90091 3.34487 0.62036 0.916951 0.681226 1.19795 0.468529 1.92833 1.36056 1.05333 3.35293 0.706684 0.957033 0.650487 1.36794 0.474123 7.6 7.8 10 59 64 21
7.9 1.51786 1.09152 0.919328 3.04735 0.751991 0.808264 0.537865 0.841248 0.377207 1.71287 1.31213 1.02857 3.35585 0.633486 0.868745 0.539861 1.23733 0.391937 1.8125 1.3625 1.0125 3.44134 0.629564 0.916743 0.597914 1.35834 0.436133 7.8 8 25 94 93 28
8.1 1.5462 0.966304 0.75691 3.13684 0.704509 0.832715 0.556714 0.762466 0.376905 1.74333 1.30667 0.962083 3.40371 0.627686 0.868483 0.543512 1.0703 0.365619 1.79375 1.29125 0.910417 3.42101 0.697495 0.85262 0.536812 1.25767 0.370784 8 8.2 71 94 86 29
8.3 1.55066 0.899342 0.622669 3.05473 0.642264 0.727799 0.564139 0.67649 0.360337 1.75667 1.25583 0.821482 3.36911 0.578723 0.786907 0.545301 1.05807 0.331117 1.7875 1.33523 0.80625 3.48337 0.586584 0.880969 0.57833 0.910087 0.356266 8.2 8.4 130 92 103 32
8.5 1.53929 0.756548 0.526786 3.03418 0.612934 0.663563 0.615471 0.508011 0.321492 1.805 1.05333 0.80619 3.32592 0.571288 0.722482 0.580722 0.829865 0.345401 1.83 1.17833 0.78 3.47536 0.620306 0.940616 0.561495 0.807742 0.301926 8.4 8.6 305 113 157 60
8.7 1.49079 0.597544 0.453127 2.91802 0.563706 0.570359 0.650045 0.321904 0.311727 1.7625 0.915278 0.738619 3.27179 0.516093 0.679013 0.559296 0.746481 0.312214 1.72941 1.20809 0.729412 3.44339 0.567908 0.846427 0.512865 0.712331 0.281069 8.6 8.8 476 165 171 72
8.9 1.46193 0.530925 0.409804 2.87019 0.48684 0.535579 0.654407 0.268627 0.303318 1.6775 0.7775 0.6025 3.22003 0.441702 0.664428 0.56375 0.520337 0.274022 1.60909 1.00091 0.606313 3.33328 0.545916 0.724875 0.489678 0.473621 0.261684 8.8 9 828 204 233 95
9.1 1.41818 0.470881 0.384848 2.77673 0.458946 0.505364 0.676136 0.186493 0.293288 1.5875 0.625 0.510357 3.0869 0.416903 0.632467 0.592731 0.390462 0.294836 1.5875 0.758333 0.554167 3.19855 0.440266 0.770673 0.5223 0.426741 0.275227 9 9.2 1301 283 304 142
9.3 1.4625 0.336309 0.372115 2.75227 0.371068 0.382807 0.672212 0.171771 0.222141 1.53462 0.507051 0.478037 3.02994 0.410995 0.540338 0.578762 0.293932 0.262957 1.51562 0.676042 0.485937 3.13605 0.400683 0.602747 0.502529 0.376217 0.207542 9.2 9.4 2071 338 466 184
9.5 1.39375 0.308333 0.316071 2.66072 0.365142 0.367672 0.647331 0.108449 0.182199 1.33125 0.43875 0.322697 2.86283 0.333007 0.450852 0.490077 0.23971 0.182382 1.39722 0.519444 0.448889 2.96509 0.448124 0.512981 0.436632 0.30613 0.186967 9.4 9.6 3092 338 650 271
9.7 1.325 0.220312 0.248611 2.5874 0.297127 0.30036 0.628091 0.0987356 0.19968 1.22333 0.299583 0.259333 2.66329 0.31576 0.402041 0.462744 0.188054 0.184391 1.33125 0.347917 0.320312 2.85048 0.332567 0.395433 0.435966 0.241683 0.167301 9.6 9.8 4530 343 870 300
9.9 1.32292 0.185417 0.220417 2.67703 0.278335 0.386983 0.625487 0.0816764 0.193806 1.13824 0.20633 0.147718 2.5255 0.27416 0.281244 0.396365 0.148591 0.0950298 1.22763 0.297368 0.22406 2.80516 0.287246 0.389365 0.426519 0.188511 0.144748 9.8 10 6568 310 1081 400
10.1 1.46 0.215 0.285 2.77042 0.444879 0.268264 0.602827 0.0972955 0.158146 1.05625 0.109028 0.10625 2.41673 0.224373 0.256582 0.351734 0.0839392 0.0776466 1.17143 0.241071 0.179762 2.63696 0.359826 0.267388 0.382558 0.106016 0.119065 10 10.2 9244 185 1304 491
