#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.177123.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.215561 0.0576844 0.0497047 0.382141 0.0644756 0.0510828 0.0792336 0.0334299 0.0158737 0.195833 0.0791667 0.0770833 0.381249 0.173557 0.139182 0.0711884 0.0684754 0.019952 0 0 0 0 0 0 0 0 0 7.2 7.4 5397 892 11 0
7.5 0.223628 0.0478836 0.0513389 0.39277 0.0465403 0.0554918 0.0812465 0.0330588 0.017539 0.2 0.1 0.075 0.415143 0.130529 0.111137 0.0713949 0.0524034 0.0202482 0 0 0 0 0 0 0 0 0 7.4 7.6 4544 960 18 0
7.7 0.221429 0.049611 0.0414806 0.397701 0.0445197 0.0538875 0.0792746 0.0335805 0.0137068 0.225 0.075 0.09 0.412017 0.11142 0.120311 0.0801445 0.0543512 0.0273798 0 0 0 0 0 0 0 0 0 7.6 7.8 3758 831 18 0
7.9 0.212941 0.0456654 0.0362007 0.388083 0.0503523 0.0528899 0.0798923 0.0267723 0.0141751 0.225 0.133333 0.0642857 0.431009 0.0872604 0.115866 0.0912504 0.0734135 0.0301917 0 0 0 0 0 0 0 0 0 7.8 8 3291 786 14 0
8.1 0.212745 0.0372549 0.0371095 0.384116 0.040984 0.0572796 0.081647 0.0238971 0.0157849 0.2125 0.0875 0.0625 0.434134 0.0905043 0.116588 0.0777647 0.039944 0.0328124 0 0 0 0 0 0 0 0 0 8 8.2 2554 682 10 0
8.3 0.213542 0.028125 0.0324723 0.381021 0.0314293 0.0580838 0.0818608 0.0217386 0.0145888 0.1875 0.0541667 0.05 0.386538 0.102765 0.0975966 0.0713949 0.0353362 0.0317311 0 0 0 0 0 0 0 0 0 8.2 8.4 2163 579 12 0
8.5 0.209076 0.0409236 0.0281149 0.363653 0.0463223 0.0473979 0.0824816 0.0264221 0.0123998 0.1375 0.075 0.0375 0.294471 0.154807 0.113101 0.0547479 0.0301091 0.0230168 0 0 0 0 0 0 0 0 0 8.4 8.6 1707 511 9 0
8.7 0.207418 0.0342491 0.0294101 0.354272 0.0401273 0.0417049 0.086526 0.0217639 0.014371 0.1625 0.0875 0.05625 0.294471 0.0841345 0.0881009 0.0574521 0.0718755 0.0283653 0 0 0 0 0 0 0 0 0 8.6 8.8 1385 405 7 0
8.9 0.211486 0.0357357 0.0266892 0.358172 0.0375155 0.0333807 0.0864021 0.0311625 0.0106282 0.2 0.0875 0.0625 0.331009 0.0634621 0.0865379 0.0737983 0.0987983 0.0341345 0 0 0 0 0 0 0 0 0 8.8 9 1105 336 7 0
9.1 0.218617 0.0241462 0.0316852 0.365591 0.0574187 0.0335083 0.0844387 0.0309466 0.0110777 0.175 0.1 0.05 0.378605 0.142067 0.176202 0.0856974 0.0381009 0.020633 0 0 0 0 0 0 0 0 0 9 9.2 845 227 6 0
9.3 0.216176 0.022886 0.0263327 0.355178 0.0382309 0.0304298 0.0886464 0.0214342 0.0138742 0.175 0.15 0.05 0.386538 0.0658655 0.144471 0.0737983 0.0341345 0.0262017 0 0 0 0 0 0 0 0 0 9.2 9.4 589 170 5 0
9.5 0.215625 0.031875 0.0382812 0.349398 0.0548586 0.0240519 0.0932124 0.0250879 0.0178168 0.2 0.125 0.0625 0.364303 0.111899 0.124078 0.0777647 0.0698319 0.0381009 0 0 0 0 0 0 0 0 0 9.4 9.6 484 125 10 0
9.7 0.221875 0.0424107 0.0389204 0.367835 0.0533972 0.04539 0.0976998 0.0566008 0.0170654 0.225 0.1 0.0875 0.386538 0.139664 0.126202 0.0896638 0.0841345 0.0277647 0 0 0 0 0 0 0 0 0 9.6 9.8 324 57 6 0
9.9 0.221429 0.0369048 0.0321428 0.360336 0.0487172 0.0355795 0.103848 0.0485157 0.0211958 0.325 0.2 0.2 0.410336 0.215866 0.168269 0.165866 0.2 0.142067 0 0 0 0 0 0 0 0 0 9.8 10 225 28 1 0
10.1 0.2 0.05 0.0583333 0.338941 0.0920673 0.0444706 0.0936302 0.0222353 0.0223798 0.275 0.05 0.2 0.292067 0.184134 0.15 0.181731 0.0841345 0.15 0 0 0 0 0 0 0 0 0 10 10.2 147 14 2 0
10.3 0.175 0.125 0.075 0.30637 0.185697 0.122235 0.0777647 0.0618991 0.0381009 0.25 0.075 0.1625 0.318269 0.115866 0.126202 0.115866 0.146034 0.0552885 0 0 0 0 0 0 0 0 0 10.2 10.4 111 6 1 0
10.5 0.125 0.175 0.125 0.142067 0.284135 0.142067 0.0658655 0.15 0.0658655 0.2 0.1 0.125 0.292067 0.184134 0.2 0.0737983 0.134134 0.0579328 0 0 0 0 0 0 0 0 0 10.4 10.6 70 1 4 0
10.7 0.125 0.15 0.125 0.142067 0.184134 0.142067 0.107933 0.1 0.107933 0.2 0.125 0.2 0.284134 0.176202 0.284134 0.0896638 0.134134 0.0896638 0 0 0 0 0 0 0 0 0 10.6 10.8 46 2 1 0
10.9 0 0.225 0 0 0.242067 0 0 0.115866 0 0.075 0.25 0.075 0.0920672 0.25 0.0920672 0.0579328 0.25 0.0579328 0 0 0 0 0 0 0 0 0 10.8 11 13 0 0 0
11.1 0 0 0 0 0 0 0 0 0 0 0.075 0 0 0.0920672 0 0 0.0579328 0 0 0 0 0 0 0 0 0 0 11 11.2 11 0 0 0
11.3 0 0 0 0 0 0 0 0 0 0 0.175 0 0 0.192067 0 0 0.157933 0 0 0 0 0 0 0 0 0 0 11.2 11.4 1 0 1 0
11.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.4 11.6 0 0 0 0
11.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.6 11.8 0 0 0 0
11.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.8 12 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
