#Observed stellar masses in Msun
#Average Infall SSFRs in yr^-1.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.141685.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_SSFRs(MW) Err+ Err- +1_sigma_Infall_SSFRs(MW) Err+ Err- -1_sigma_Infall_SSFRs(MW) Err+ Err- Median_Infall_SSFRs(GR) Err+ Err- +1_sigma_Infall_SSFRs(GR) Err+ Err- -1_sigma_Infall_SSFRs(GR) Err+ Err- Median_Infall_SSFRs(CL) Err+ Err- +1_sigma_Infall_SSFRs(CL) Err+ Err- -1_sigma_Infall_SSFRs(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -8.27727 0.091856 0.0998096 -7.68965 0.064611 0.0592246 -8.8795 0.18339 2.53078 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.2 7.4 194320 648 0 0
7.5 -8.2875 0.108214 0.0994043 -7.68784 0.0699015 0.0724788 -8.86477 0.173804 2.53172 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.4 7.6 144247 658 0 0
7.7 -8.27115 0.0961542 0.106624 -7.67693 0.0658631 0.0559659 -8.88166 0.184422 2.4845 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.6 7.8 104226 621 0 0
7.9 -8.282 0.0922937 0.113455 -7.68136 0.066 0.0532084 -8.88037 0.167911 2.48476 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 7.8 8 72652 500 0 0
8.1 -8.29342 0.0784206 0.108142 -7.69294 0.0447788 0.0492153 -8.88954 0.169954 2.52728 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8 8.2 50217 490 0 0
8.3 -8.27857 0.110714 0.112054 -7.72145 0.0597992 0.0485477 -8.88454 0.188891 2.49645 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.2 8.4 34128 393 0 0
8.5 -8.24318 0.0798483 0.0651512 -7.71757 0.0582356 0.0709248 -8.80251 0.156606 0.614532 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.4 8.6 22724 317 0 0
8.7 -8.20833 0.0787878 0.0958338 -7.70825 0.0633736 0.0617671 -8.75826 0.159466 0.335606 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.6 8.8 15238 269 0 0
8.9 -8.20682 0.05404 0.082468 -7.74009 0.0608549 0.0483413 -8.74288 0.148599 0.725373 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 8.8 9 10099 207 0 0
9.1 -8.19375 0.0508938 0.0749998 -7.70641 0.0753984 0.0680342 -8.78331 0.164526 0.635662 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 -14 0 0 9 9.2 6337 180 0 0
