#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.835248.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 3.12059 1.19268 1.02422 5.36162 0.662478 0.764121 1.4458 0.630458 0.680867 3.7491 1.23926 1.40786 5.75618 0.69604 0.759294 1.65645 1.23225 0.827371 3.70808 1.28042 1.29742 5.74573 0.724524 0.73084 1.65416 1.12168 0.807718 7.2 7.4 52411 5398 6156 4977
7.5 3.25035 1.03758 1.06803 5.50715 0.56659 0.68079 1.4651 0.532515 0.617868 3.95446 1.12173 1.46009 5.93259 0.626859 0.733649 1.73511 1.15537 0.856181 3.99185 1.09357 1.48389 5.93631 0.648054 0.754132 1.74262 1.16746 0.868533 7.4 7.6 46724 5196 5920 4589
7.7 3.26447 0.845526 1.04325 5.44657 0.52692 0.572848 1.45817 0.447121 0.56221 4.09167 0.930151 1.4906 6.02144 0.540186 0.712306 1.77976 1.00784 0.84837 4.18036 0.950893 1.58272 6.11489 0.601058 0.759763 1.83217 1.0384 0.940934 7.6 7.8 40831 4711 5239 4246
7.9 3.30903 0.660139 0.997917 5.47052 0.432902 0.588819 1.45256 0.363101 0.548351 4.1929 0.76016 1.46134 6.13257 0.462651 0.736617 1.84113 0.893925 0.903164 4.27183 0.843429 1.563 6.19703 0.505449 0.672475 1.90709 0.915474 1.0191 7.8 8 36711 4444 4878 3820
8.1 3.30598 0.572147 0.972358 5.57628 0.485113 0.703742 1.42462 0.364574 0.573574 4.2399 0.602538 1.45922 6.1936 0.443349 0.674472 1.87026 0.773206 0.94704 4.33466 0.659906 1.48638 6.33215 0.396673 0.77877 1.94143 0.766323 1.02063 8 8.2 34970 4442 4792 3628
8.3 3.39183 0.451402 0.981943 5.79364 0.583894 0.780096 1.42635 0.258613 0.564873 4.27385 0.497154 1.41598 6.3976 0.422894 0.797597 1.88711 0.583164 0.958928 4.40517 0.529828 1.50428 6.4392 0.350501 0.722358 1.95075 0.665666 1.0491 8.2 8.4 33292 4540 4844 3499
8.5 3.39848 0.365578 0.943705 5.91509 0.451392 0.802203 1.4132 0.17591 0.500476 4.27202 0.38378 1.30591 6.48311 0.33993 0.729275 1.84641 0.494477 0.896553 4.416 0.382572 1.49 6.50863 0.289619 0.818969 1.85069 0.620703 0.955039 8.4 8.6 29977 4343 4334 3285
8.7 3.18066 0.330173 0.802719 5.76921 0.378518 0.736054 1.3454 0.136646 0.434002 4.16689 0.329847 1.23672 6.37489 0.281234 0.713208 1.70621 0.358961 0.777353 4.36029 0.372633 1.44244 6.45234 0.321544 0.736958 1.89179 0.432387 0.963782 8.6 8.8 26776 4033 3954 2928
8.9 2.94632 0.306707 0.605045 5.51603 0.36917 0.601186 1.25566 0.126165 0.314181 3.96429 0.276255 1.1239 6.27506 0.290515 0.67546 1.59133 0.231613 0.65483 4.19861 0.3058 1.28433 6.35472 0.278598 0.599213 1.81699 0.394506 0.914845 8.8 9 24032 3670 3599 2710
9.1 2.72404 0.317628 0.52539 5.29534 0.332468 0.497845 1.18229 0.111447 0.26682 3.81513 0.274984 0.966984 6.13917 0.27591 0.586003 1.48332 0.213521 0.532148 3.97059 0.322833 1.09751 6.19505 0.289906 0.555497 1.63025 0.282915 0.727872 9 9.2 21656 3372 3223 2404
