#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.531497.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.3 1.16189 0.7 2.51382 0.775123 0.869347 0.568527 0.790774 0.359031 1.4369 1.4381 0.636905 2.76106 0.785018 1.05866 0.624263 1.0154 0.407078 1.57368 1.32632 0.780827 2.94781 0.818982 0.911303 0.54389 1.21382 0.420092 7.2 7.4 32 15 13 3
7.5 1.3125 1.19375 0.7625 2.57594 0.850259 1.16393 0.473522 0.910694 0.292992 1.5465 1.35745 1.004 2.86222 0.792053 0.987906 0.609911 1.14959 0.452877 1.615 1.31 1.0775 2.91835 0.867218 0.897681 0.565671 1.34178 0.386344 7.4 7.6 7 46 29 13
7.7 1.38134 1.26241 0.839357 2.7383 0.849443 1.49623 0.451795 0.83823 0.30954 1.58769 1.3571 1.03535 3.00985 0.789929 1.4601 0.532804 1.16974 0.405199 1.61667 1.38333 1.075 2.93378 0.92848 1.5369 0.555872 1.25315 0.410198 7.6 7.8 12 67 77 28
7.9 1.37401 1.10421 0.834883 2.81766 0.757092 1.06022 0.438705 0.78758 0.298599 1.52586 1.3958 0.965677 3.0544 0.805331 1.12989 0.439819 1.0597 0.30061 1.57125 1.31938 1.00458 3.00189 0.92046 1.31752 0.408419 1.08433 0.279452 7.8 8 12 87 98 23
8.1 1.40885 0.904308 0.806218 2.86185 0.698648 0.892517 0.440083 0.656144 0.295209 1.5365 1.2935 0.885218 3.06874 0.633194 0.782805 0.464648 0.902016 0.313444 1.4875 1.4 0.858929 3.07378 0.74467 0.990643 0.420353 0.877727 0.268604 8 8.2 35 97 98 29
8.3 1.38516 0.800552 0.622663 2.76191 0.646402 0.7416 0.49208 0.493264 0.318521 1.4967 1.2283 0.767698 3.05589 0.555186 0.80213 0.465249 0.799599 0.282165 1.55 1.34167 0.81875 3.0479 0.759792 0.888264 0.490063 0.875685 0.289471 8.2 8.4 94 97 87 27
8.5 1.35769 0.658974 0.478786 2.76888 0.626068 0.651411 0.516663 0.421408 0.27213 1.46711 1.11147 0.662757 3.04206 0.540964 0.705702 0.492327 0.721055 0.279338 1.58125 1.19375 0.67125 3.13934 0.568538 0.753084 0.523559 0.664667 0.314903 8.4 8.6 196 117 140 39
8.7 1.33594 0.539062 0.37726 2.71237 0.515246 0.539537 0.563206 0.303835 0.279154 1.409 0.969125 0.501284 2.95517 0.590397 0.642438 0.465304 0.579278 0.240384 1.49038 1.10962 0.590385 3.1301 0.596896 0.673614 0.507802 0.579323 0.282745 8.6 8.8 340 143 147 60
8.9 1.325 0.48125 0.367096 2.63782 0.434282 0.517088 0.58143 0.25433 0.256166 1.45 0.81875 0.481818 2.9111 0.430143 0.558311 0.456833 0.467872 0.201035 1.33438 1.0375 0.448011 2.97931 0.584385 0.712008 0.377207 0.486821 0.197012 8.8 9 667 200 205 81
9.1 1.32258 0.436794 0.350488 2.57643 0.377359 0.46379 0.614005 0.223061 0.245288 1.3787 0.627066 0.399418 2.82124 0.423346 0.521106 0.491744 0.371127 0.231358 1.34167 0.814583 0.429167 2.91057 0.551681 0.648565 0.425608 0.440261 0.209455 9 9.2 1095 229 301 107
