#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.364435.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.60532 0.21468 0.246018 1.07709 0.337995 0.317444 0.175814 0.18248 0.0613346 0.63475 0.24775 0.272985 1.15739 0.347973 0.387923 0.180007 0.196038 0.0882811 0.5875 0.295833 0.4125 1.12408 0.317991 0.839942 0.157933 0.229328 0.0867787 7.2 7.4 20 373 152 5
7.5 0.5875 0.232358 0.225 1.12731 0.317157 0.370225 0.165358 0.190894 0.0637192 0.616716 0.242791 0.241716 1.18606 0.369538 0.429863 0.176063 0.216176 0.0631356 0.5625 0.2475 0.3875 1.10913 0.398315 0.874996 0.166588 0.178448 0.108655 7.4 7.6 28 498 210 8
7.7 0.578566 0.206523 0.199154 1.18096 0.310389 0.411646 0.160384 0.156204 0.0498204 0.583111 0.251264 0.238468 1.23101 0.370525 0.469233 0.158355 0.208595 0.0467853 0.569643 0.345357 0.294643 1.12066 0.391679 0.576187 0.152285 0.205168 0.0819325 7.6 7.8 50 570 251 14
7.9 0.580405 0.187242 0.179192 1.17509 0.31031 0.373827 0.176019 0.134048 0.0548101 0.587755 0.255723 0.205998 1.23572 0.3787 0.386589 0.161671 0.171328 0.0501143 0.541667 0.233333 0.222917 1.13401 0.348319 0.538177 0.174177 0.0916881 0.0875584 7.8 8 98 534 254 15
8.1 0.6 0.153333 0.14 1.19507 0.247235 0.304964 0.193031 0.151579 0.0619464 0.60374 0.26126 0.181922 1.25468 0.341955 0.336443 0.178103 0.148821 0.0525255 0.5625 0.25 0.1625 1.14639 0.493674 0.360211 0.164185 0.161059 0.0664074 8 8.2 175 588 296 21
8.3 0.591797 0.164453 0.109726 1.17729 0.228115 0.23811 0.205957 0.153902 0.0641636 0.6 0.20625 0.136143 1.27605 0.319018 0.312957 0.172126 0.152034 0.0466438 0.6 0.225 0.125 1.26442 0.264185 0.403605 0.159299 0.184213 0.045316 8.2 8.4 287 568 303 24
8.5 0.612097 0.137903 0.0929791 1.20745 0.202331 0.223819 0.24279 0.142402 0.0824856 0.596512 0.19061 0.123734 1.25375 0.263197 0.210757 0.168499 0.145152 0.0431317 0.5875 0.144643 0.229167 1.2173 0.328126 0.354564 0.132393 0.153187 0.0404624 8.4 8.6 446 584 360 25
8.7 0.596725 0.132442 0.0779749 1.18839 0.190333 0.186879 0.235412 0.139622 0.0857567 0.61087 0.182312 0.112953 1.27986 0.257999 0.228599 0.193319 0.117356 0.0560587 0.579167 0.145833 0.179167 1.2375 0.245193 0.209614 0.184712 0.120817 0.057228 8.6 8.8 663 613 387 30
8.9 0.595976 0.10554 0.0569847 1.18714 0.164511 0.171139 0.231867 0.136779 0.0702436 0.596364 0.157386 0.108295 1.24253 0.272374 0.204926 0.172812 0.136305 0.0416413 0.55 0.145833 0.1 1.15565 0.27079 0.283294 0.18642 0.0798068 0.0694117 8.8 9 960 536 446 25
9.1 0.604545 0.0851604 0.0607955 1.17408 0.144156 0.163524 0.255341 0.108924 0.0869473 0.595349 0.139651 0.104623 1.23976 0.237965 0.213609 0.172422 0.106718 0.0396179 0.616667 0.133333 0.116667 1.14263 0.179003 0.175442 0.227647 0.0968741 0.0975966 9 9.2 1354 468 484 23
9.3 0.598016 0.0950396 0.0501898 1.1762 0.142638 0.157692 0.262742 0.108665 0.0853604 0.576515 0.121342 0.0877652 1.21768 0.191119 0.196556 0.147049 0.117746 0.0190239 0.625 0.2 0.13125 1.17235 0.257092 0.274639 0.226123 0.174118 0.101162 9.2 9.4 1722 360 538 20
9.5 0.641935 0.0851479 0.0674071 1.21979 0.160616 0.155006 0.286858 0.100782 0.0766525 0.553676 0.134657 0.0700401 1.19935 0.194631 0.184919 0.177947 0.107941 0.0506299 0.6 0.175 0.1 1.19134 0.345193 0.276924 0.14279 0.18726 0.0509621 9.4 9.6 2156 258 566 37
