#Observed stellar masses in Msun
#Average Infall SSFRs in yr^-1.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.182185.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#SM Median_Infall_SSFRs(MW) Err+ Err- +1_sigma_Infall_SSFRs(MW) Err+ Err- -1_sigma_Infall_SSFRs(MW) Err+ Err- Median_Infall_SSFRs(GR) Err+ Err- +1_sigma_Infall_SSFRs(GR) Err+ Err- -1_sigma_Infall_SSFRs(GR) Err+ Err- Median_Infall_SSFRs(CL) Err+ Err- +1_sigma_Infall_SSFRs(CL) Err+ Err- -1_sigma_Infall_SSFRs(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -8.57554 0.0882626 0.0998669 -7.94401 0.057189 0.0703206 -9.08056 0.153962 2.03182 -8.58056 0.134723 0.106944 -7.82681 0.193269 0.176001 -9.10306 0.170578 0.39813 -14 0 0 -14 0 0 -14 0 0 7.2 7.4 366316 6642 96 0
7.5 -8.54696 0.0822287 0.101301 -7.91846 0.0566001 0.0542512 -9.05708 0.152927 1.68153 -8.55 0.133333 0.108333 -7.76515 0.122596 0.138701 -9.06225 0.163938 1.83894 -14 0 0 -14 0 0 -14 0 0 7.4 7.6 277251 6468 118 0
7.7 -8.52526 0.0814857 0.101919 -7.90802 0.0544233 0.0623064 -9.04847 0.15914 1.93681 -8.54375 0.14375 0.177083 -7.83991 0.109134 0.129446 -9.08742 0.165064 2.37484 -14 0 0 -14 0 0 -14 0 0 7.6 7.8 203582 5732 88 0
7.9 -8.51272 0.0738859 0.103942 -7.91791 0.0453115 0.0550413 -9.03881 0.149227 1.54036 -8.5625 0.116667 0.1125 -7.87765 0.135697 0.111899 -9.07179 0.154246 2.28325 -14 0 0 -14 0 0 -14 0 0 7.8 8 147750 5116 78 0
8.1 -8.5125 0.0769176 0.0948448 -7.93371 0.0536418 0.0545835 -9.02943 0.139907 1.52894 -8.45833 0.120833 0.154167 -7.75217 0.163462 0.206252 -9.06478 0.198857 2.27752 -14 0 0 -14 0 0 -14 0 0 8 8.2 105753 4230 57 0
8.3 -8.50434 0.0664558 0.0923891 -7.9397 0.0484095 0.0622358 -9.0236 0.139429 0.298576 -8.4625 0.0874996 0.1125 -7.65385 0.0732374 0.122516 -9.17628 0.209294 2.31915 -14 0 0 -14 0 0 -14 0 0 8.2 8.4 74953 3452 63 0
8.5 -8.46961 0.0603523 0.0844994 -7.9396 0.0450931 0.0559855 -8.98878 0.118878 0.257093 -8.435 0.0933323 0.0950003 -7.71491 0.0992775 0.0992775 -9.0617 0.18702 2.14647 -14 0 0 -14 0 0 -14 0 0 8.4 8.6 52964 2861 59 0
8.7 -8.46339 0.0535898 0.067729 -7.95256 0.043251 0.0501213 -8.98131 0.118595 0.206018 -8.375 0.0916672 0.1 -7.85072 0.125479 0.138101 -9.04771 0.178083 2.36118 -14 0 0 -14 0 0 -14 0 0 8.6 8.8 37628 2358 44 0
8.9 -8.45571 0.0482597 0.0613394 -7.95511 0.0400009 0.0475006 -8.94967 0.098609 0.197967 -8.525 0.15 0.1125 -7.96731 0.171395 0.114782 -9.12788 0.273799 2.5262 -14 0 0 -14 0 0 -14 0 0 8.8 9 25977 1779 32 0
9.1 -8.43688 0.0513678 0.051918 -7.93764 0.0354886 0.0449796 -8.94307 0.109751 0.166375 -8.475 0.150001 0.162499 -7.73005 0.187261 0.268269 -9.05721 0.229327 2.84447 -14 0 0 -14 0 0 -14 0 0 9 9.2 17933 1392 28 0
