#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.683373.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.71555 1.08218 1.15151 4.25333 0.676089 0.938279 1.3493 0.756508 0.765616 3.27533 1.03044 1.61469 4.57698 0.713438 0.963787 1.64526 1.34697 0.993777 3.28409 1.06591 1.55976 4.59245 0.815537 0.991507 1.6926 1.1609 1.00549 7.2 7.4 15139 2440 2555 1620
7.5 2.81059 0.833851 1.21059 4.2979 0.61882 0.859324 1.34115 0.715049 0.744121 3.38024 0.944758 1.68224 4.69195 0.639142 0.959803 1.72281 1.30883 1.04231 3.46359 0.927038 1.74881 4.72824 0.676171 1.02022 1.71912 1.1133 1.05103 7.4 7.6 12907 2082 2235 1395
7.7 2.88077 0.724414 1.29619 4.38418 0.614123 0.958407 1.34533 0.628814 0.748354 3.46713 0.832315 1.73043 4.80296 0.585106 1.00931 1.73796 1.17009 1.05498 3.59 0.870294 1.865 4.8752 0.654423 1.05422 1.80651 1.10225 1.16351 7.6 7.8 11187 2045 2038 1218
7.9 2.94875 0.58875 1.322 4.50995 0.803956 0.99694 1.32644 0.422167 0.76678 3.57344 0.682812 1.75767 4.92757 0.532226 1.02276 1.77881 0.998753 1.18708 3.63143 0.774822 1.84624 5.03359 0.496981 1.05516 1.8429 0.880249 1.21867 7.8 8 10560 1953 1909 1136
8.1 2.98269 0.478846 1.36582 4.75965 0.61292 1.1143 1.30854 0.39049 0.77202 3.60163 0.572054 1.77851 5.11362 0.399637 1.15451 1.64236 0.873891 1.11628 3.6925 0.640833 1.91977 5.10486 0.428744 1.20942 1.74449 0.961363 1.18449 8 8.2 9768 1989 1812 1076
8.3 2.95692 0.388448 1.31233 4.773 0.614813 1.06128 1.26328 0.299864 0.677445 3.58047 0.530108 1.825 5.16279 0.340614 1.17166 1.55193 0.754137 1.00414 3.615 0.552187 1.89833 5.14929 0.352641 1.2345 1.70198 0.742381 1.15446 8.2 8.4 9027 1898 1659 985
8.5 2.82391 0.350125 1.14691 4.71113 0.483397 1.06921 1.21189 0.233442 0.579008 3.50946 0.411193 1.69639 5.11163 0.312329 1.09521 1.48444 0.580641 0.906422 3.60804 0.484272 1.80804 5.12781 0.350283 1.04202 1.57761 0.72328 0.980029 8.4 8.6 8343 1745 1525 868
8.7 2.64625 0.32875 0.98375 4.57766 0.41716 0.966957 1.1771 0.159522 0.501183 3.37981 0.376442 1.53591 5.02386 0.286801 1.00048 1.45409 0.416641 0.865693 3.55781 0.369111 1.72969 5.16824 0.248266 1.08935 1.58271 0.494174 0.94406 8.6 8.8 7996 1625 1515 890
8.9 2.446 0.28 0.793449 4.38797 0.329893 0.913218 1.08795 0.138242 0.417595 3.2375 0.314583 1.48438 4.92844 0.26554 1.00254 1.32266 0.312501 0.744485 3.38571 0.385536 1.57071 5.0849 0.238189 0.99977 1.40695 0.435186 0.753637 8.8 9 8118 1732 1491 895
9.1 2.31736 0.279663 0.666171 4.22931 0.370583 0.734127 1.05535 0.114544 0.355043 3.05208 0.297916 1.2495 4.73965 0.293545 0.83126 1.19329 0.259415 0.595403 3.2325 0.360357 1.41728 4.89991 0.281268 0.829663 1.23971 0.421042 0.643996 9 9.2 8307 1539 1552 896
9.3 2.17308 0.311744 0.568729 4.13826 0.357854 0.574809 0.975063 0.103242 0.288257 2.72981 0.372044 0.957308 4.57272 0.323822 0.641399 1.08531 0.237072 0.454272 2.96842 0.389474 1.12914 4.7709 0.237304 0.732069 1.07807 0.371459 0.499829 9.2 9.4 8617 1463 1558 899
9.5 2.07188 0.266586 0.455209 4.01421 0.332281 0.497048 0.940706 0.0938793 0.212198 2.39615 0.410989 0.686779 4.38735 0.248922 0.630043 0.96668 0.19257 0.378985 2.69 0.41 0.89625 4.65695 0.221823 0.657621 0.946008 0.270273 0.372093 9.4 9.6 9291 1223 1630 935
9.7 1.92963 0.271933 0.27963 3.82012 0.306702 0.421287 0.911582 0.055184 0.18254 2.1375 0.3085 0.526389 4.15838 0.321029 0.459703 0.834929 0.150867 0.28014 2.44286 0.436688 0.728274 4.45608 0.288589 0.528991 0.843358 0.202401 0.270148 9.6 9.8 10376 978 1672 999
9.9 1.915 0.246111 0.27125 3.73758 0.24269 0.340873 0.841376 0.0999865 0.135619 1.85132 0.269139 0.264247 3.88131 0.315799 0.350932 0.729333 0.136019 0.199521 2.09792 0.371314 0.461806 4.26697 0.289211 0.405635 0.745499 0.167091 0.247586 9.8 10 12015 756 1731 1098
10.1 1.83636 0.30947 0.246364 3.76147 0.30166 0.299878 0.806122 0.113418 0.208997 1.63846 0.188712 0.176834 3.60983 0.248842 0.220252 0.59462 0.132101 0.118631 1.8975 0.307308 0.361389 4.00665 0.279467 0.269519 0.626589 0.123939 0.155343 10 10.2 14025 493 1813 1092
10.3 1.83654 0.368461 0.231539 3.87456 0.438077 0.415133 0.807713 0.106896 0.15354 1.3587 0.129719 0.105287 3.26653 0.22317 0.214773 0.474092 0.0834218 0.0630181 1.57187 0.263352 0.179567 3.69595 0.304388 0.259136 0.489926 0.106086 0.0887063 10.2 10.4 16346 280 1855 1076
10.5 1.95 0.266667 0.3 3.94146 0.473916 0.391713 0.835019 0.0969135 0.180927 1.19464 0.0779762 0.0494046 2.93849 0.230589 0.197283 0.390688 0.046705 0.0565828 1.35 0.232895 0.135898 3.34625 0.312639 0.308278 0.413763 0.0594397 0.0753108 10.4 10.6 17163 125 1724 949
10.7 1.95 0.425 0.4875 3.78149 0.588462 0.411302 0.684621 0.175479 0.237865 1.0641 0.0733975 0.0603524 2.47515 0.267267 0.233765 0.316064 0.0222012 0.0418779 1.18462 0.140385 0.126615 2.86908 0.312739 0.243124 0.321091 0.0529263 0.0668118 10.6 10.8 15379 59 1319 730
10.9 1.625 0.325 0.325 3.60408 0.592067 0.655529 0.582092 0.27416 0.12584 1.06613 0.087132 0.092379 2.25209 0.243525 0.280253 0.320012 0.090947 0.082192 1.095 0.120909 0.123846 2.56357 0.251716 0.341044 0.269535 0.0704448 0.0553983 10.8 11 11800 31 831 460
11.1 1.95 0.675 0.575 3.39447 1.30793 0.926202 0.807933 0.415866 0.260336 0.941667 0.0487179 0.107576 1.96592 0.228004 0.323146 0.218752 0.0842564 0.0278144 0.978571 0.121429 0.150446 2.3411 0.328832 0.369954 0.249461 0.0841554 0.0617667 11 11.2 7025 6 295 237
