#Observed stellar masses in Msun
#Quenching delay times in Gyr.
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Err+ and Err- are errors over all MCMC points.
#+1 and -1 sigma are the 84th and 16th percentile ranges for galaxies in a single model.
#All satellites selected at a=0.637810.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of quenched(all)/quenched after infall(sats) galaxies in the bin for the bestfit model.
#SM Median_Quenching_Delay_Time(MW) Err+ Err- +1_sigma_Quenching_Delay_Time(MW) Err+ Err- -1_sigma_Quenching_Delay_Time(MW) Err+ Err- Median_Quenching_Delay_Time(GR) Err+ Err- +1_sigma_Quenching_Delay_Time(GR) Err+ Err- -1_sigma_Quenching_Delay_Time(GR) Err+ Err- Median_Quenching_Delay_Time(CL) Err+ Err- +1_sigma_Quenching_Delay_Time(CL) Err+ Err- -1_sigma_Quenching_Delay_Time(CL) Err+ Err- SM_Left SM_Right Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.56455 0.849337 1.12905 3.91704 0.585484 0.973346 1.31963 0.661634 0.778189 3.025 0.910714 1.52933 4.20062 0.665116 0.984192 1.58791 1.00778 0.99535 3.11548 0.853274 1.53214 4.26889 0.565152 1.02518 1.67359 0.934237 1.1151 7.2 7.4 9081 1515 1561 844
7.5 2.64336 0.743004 1.19107 3.97858 0.551034 0.944035 1.33464 0.584476 0.844027 3.15435 0.829819 1.63882 4.30789 0.616695 1.02307 1.6533 1.15062 1.0978 3.22187 0.845982 1.6692 4.39058 0.588598 1.05638 1.67829 1.03101 1.13764 7.4 7.6 7559 1328 1358 737
7.7 2.725 0.563889 1.305 4.08359 0.625678 1.05427 1.3125 0.511884 0.847808 3.27193 0.68432 1.753 4.4417 0.539325 1.11117 1.689 1.01858 1.17729 3.3163 0.735618 1.78903 4.53995 0.486804 1.13704 1.58799 0.911656 1.06994 7.6 7.8 6716 1296 1252 663
7.9 2.76389 0.468254 1.34998 4.24725 0.642405 1.10562 1.1197 0.579205 0.690137 3.29683 0.593794 1.79475 4.58837 0.392688 1.1796 1.42549 1.06496 0.96686 3.35345 0.621552 1.80955 4.64828 0.399375 1.18375 1.46433 1.00006 0.976397 7.8 8 6070 1255 1165 584
8.1 2.77153 0.384028 1.38182 4.35053 0.609473 1.20195 1.11764 0.430986 0.678505 3.28545 0.498545 1.80477 4.64811 0.330104 1.18962 1.19041 1.12702 0.777384 3.40192 0.525 1.90653 4.68761 0.351038 1.19708 1.28326 0.964511 0.831127 8 8.2 5484 1165 1068 516
8.3 2.643 0.382 1.22433 4.3083 0.493905 1.17959 1.15594 0.281199 0.701219 3.23092 0.464912 1.76869 4.6491 0.375893 1.18355 1.17258 0.959877 0.747947 3.33542 0.503472 1.83708 4.69454 0.312227 1.24127 1.4661 0.783386 1.01316 8.2 8.4 4826 1059 949 499
8.5 2.56293 0.325069 1.15668 4.27009 0.442143 1.09554 1.08548 0.25301 0.559395 3.17283 0.409317 1.66683 4.64104 0.352581 1.17208 1.27082 0.740346 0.828986 3.25833 0.445834 1.77333 4.65074 0.302191 1.20175 1.40073 0.689079 0.927987 8.4 8.6 4522 1017 908 473
8.7 2.38095 0.365298 0.967857 4.09324 0.487569 0.992345 1.06934 0.156346 0.52933 3.02794 0.394427 1.53572 4.53492 0.360679 1.04728 1.12365 0.562494 0.678061 3.20208 0.40625 1.64708 4.64628 0.249718 1.12167 1.23418 0.689779 0.738621 8.6 8.8 4473 1036 909 435
8.9 2.30128 0.243718 0.873091 3.93111 0.344281 0.857319 1.03904 0.14815 0.432232 2.84674 0.343645 1.35046 4.41012 0.29819 0.967708 1.06793 0.422994 0.604734 3.075 0.391667 1.53182 4.57448 0.277597 0.991486 1.04035 0.499049 0.58912 8.8 9 4686 1014 932 478
9.1 2.12969 0.285312 0.679216 3.84916 0.36443 0.753657 0.952466 0.127782 0.343682 2.61053 0.394236 1.11053 4.23387 0.375739 0.882847 0.998608 0.334718 0.466966 2.79545 0.458712 1.3017 4.37867 0.328297 0.901677 0.911763 0.514757 0.486443 9 9.2 5155 990 1071 497
